,Country,year,purity,price
0,Austria,2002,,
1,Belgium,2002,,
2,Bulgaria,2002,,
3,Croatia,2002,,
4,Cyprus,2002,,
5,Czechia,2002,40.0,
6,Denmark,2002,,33.3
7,Estonia,2002,,11.2
8,Finland,2002,,
9,France,2002,,
10,Germany,2002,,13.23
11,Greece,2002,,
12,Hungary,2002,,11.0
13,Ireland,2002,,6.0
14,Italy,2002,,
15,Latvia,2002,,
16,Lithuania,2002,,15.0
17,Luxembourg,2002,,
18,Malta,2002,,
19,Netherlands,2002,,
20,Norway,2002,,37.5
21,Poland,2002,,
22,Portugal,2002,,
23,Romania,2002,,
24,Slovakia,2002,45.0,
25,Slovenia,2002,,
26,Spain,2002,,14.48
27,Sweden,2002,,29.0
28,Turkey,2002,,5.0
29,United Kingdom,2002,,13.5
30,Austria,2003,,
31,Belgium,2003,,
32,Bulgaria,2003,,
33,Croatia,2003,,
34,Cyprus,2003,,
35,Czechia,2003,62.5,
36,Denmark,2003,19.0,
37,Estonia,2003,53.0,9.6
38,Finland,2003,,25.0
39,France,2003,,
40,Germany,2003,,12.6
41,Greece,2003,,
42,Hungary,2003,,8.0
43,Ireland,2003,,
44,Italy,2003,,
45,Latvia,2003,,
46,Lithuania,2003,40.0,14.0
47,Luxembourg,2003,,
48,Malta,2003,,
49,Netherlands,2003,,6.0
50,Norway,2003,,37.5
51,Poland,2003,,
52,Portugal,2003,,
53,Romania,2003,,50.0
54,Slovakia,2003,49.0,8.75
55,Slovenia,2003,,
56,Spain,2003,,15.27
57,Sweden,2003,,30.0
58,Turkey,2003,,5.0
59,United Kingdom,2003,,12.82
60,Austria,2004,,20.0
61,Belgium,2004,,
62,Bulgaria,2004,,
63,Croatia,2004,,
64,Cyprus,2004,,
65,Czechia,2004,50.0,34.5
66,Denmark,2004,29.0,
67,Estonia,2004,19.0,6.3
68,Finland,2004,,
69,France,2004,,
70,Germany,2004,21.0,12.1
71,Greece,2004,,
72,Hungary,2004,,11.9
73,Ireland,2004,,
74,Italy,2004,,19.2
75,Latvia,2004,,
76,Lithuania,2004,38.0,7.5
77,Luxembourg,2004,,
78,Malta,2004,,
79,Netherlands,2004,55.6,
80,Norway,2004,,43.75
81,Poland,2004,,
82,Portugal,2004,,
83,Romania,2004,,7.0
84,Slovakia,2004,42.9,
85,Slovenia,2004,,4.0
86,Spain,2004,,15.88
87,Sweden,2004,,29.0
88,Turkey,2004,,5.0
89,United Kingdom,2004,,11.52
90,Austria,2005,41.8,20.0
91,Belgium,2005,,
92,Bulgaria,2005,15.0,
93,Croatia,2005,,20.0
94,Cyprus,2005,,
95,Czechia,2005,62.9,32.5
96,Denmark,2005,21.0,
97,Estonia,2005,33.2,9.5
98,Finland,2005,,
99,France,2005,64.0,
100,Germany,2005,10.0,11.9
101,Greece,2005,,
102,Hungary,2005,,12.3
103,Ireland,2005,,
104,Italy,2005,,18.12
105,Latvia,2005,43.0,
106,Lithuania,2005,33.0,6.96
107,Luxembourg,2005,,
108,Malta,2005,,
109,Netherlands,2005,45.1,
110,Norway,2005,50.0,37.5
111,Poland,2005,,
112,Portugal,2005,,
113,Romania,2005,,
114,Slovakia,2005,46.7,
115,Slovenia,2005,,10.45
116,Spain,2005,,24.23
117,Sweden,2005,,26.0
118,Turkey,2005,,
119,United Kingdom,2005,77.0,14.73
120,Austria,2006,25.3,20.0
121,Belgium,2006,,
122,Bulgaria,2006,25.0,
123,Croatia,2006,45.0,15.0
124,Cyprus,2006,,
125,Czechia,2006,52.3,34.1
126,Denmark,2006,10.0,
127,Estonia,2006,35.0,16.0
128,Finland,2006,35.0,
129,France,2006,15.4,
130,Germany,2006,,12.9
131,Greece,2006,,
132,Hungary,2006,47.0,11.0
133,Ireland,2006,,
134,Italy,2006,58.0,18.12
135,Latvia,2006,30.0,
136,Lithuania,2006,31.0,8.37
137,Luxembourg,2006,,
138,Malta,2006,,70.0
139,Netherlands,2006,41.8,5.0
140,Norway,2006,54.0,37.5
141,Poland,2006,,
142,Portugal,2006,,
143,Romania,2006,,
144,Slovakia,2006,61.7,
145,Slovenia,2006,,10.2
146,Spain,2006,,23.23
147,Sweden,2006,,26.0
148,Turkey,2006,,3.0
149,United Kingdom,2006,54.5,13.37
150,Austria,2007,24.4,25.0
151,Belgium,2007,,
152,Bulgaria,2007,22.0,
153,Croatia,2007,48.0,15.0
154,Cyprus,2007,,
155,Czechia,2007,66.4,36.3
156,Denmark,2007,18.0,22.6
157,Estonia,2007,30.0,
158,Finland,2007,14.0,
159,France,2007,10.8,
160,Germany,2007,,12.6
161,Greece,2007,,
162,Hungary,2007,,12.0
163,Ireland,2007,,
164,Italy,2007,72.0,17.9
165,Latvia,2007,20.0,
166,Lithuania,2007,31.0,8.66
167,Luxembourg,2007,,
168,Malta,2007,,69.9
169,Netherlands,2007,57.3,5.0
170,Norway,2007,45.0,
171,Poland,2007,,
172,Portugal,2007,,
173,Romania,2007,,
174,Slovakia,2007,59.6,
175,Slovenia,2007,,
176,Spain,2007,,25.81
177,Sweden,2007,,25.31
178,Turkey,2007,,
179,United Kingdom,2007,,13.16
180,Austria,2008,46.3,20.0
181,Belgium,2008,80.4,
182,Bulgaria,2008,36.0,
183,Croatia,2008,55.0,15.0
184,Cyprus,2008,,
185,Czechia,2008,64.28,35.6
186,Denmark,2008,23.0,24.0
187,Estonia,2008,26.8,
188,Finland,2008,29.7,
189,France,2008,,
190,Germany,2008,,12.3
191,Greece,2008,,
192,Hungary,2008,,11.8
193,Ireland,2008,,
194,Italy,2008,,17.5
195,Latvia,2008,32.0,
196,Lithuania,2008,29.0,9.3
197,Luxembourg,2008,,
198,Malta,2008,,
199,Netherlands,2008,22.3,6.0
200,Norway,2008,39.0,
201,Poland,2008,,
202,Portugal,2008,,
203,Romania,2008,,
204,Slovakia,2008,63.5,
205,Slovenia,2008,,17.0
206,Spain,2008,,26.35
207,Sweden,2008,33.0,26.37
208,Turkey,2008,,
209,United Kingdom,2008,59.9,12.59
210,Austria,2009,58.4,
211,Belgium,2009,32.0,
212,Bulgaria,2009,11.8,
213,Croatia,2009,76.0,20.0
214,Cyprus,2009,,
215,Czechia,2009,68.1,41.8
216,Denmark,2009,16.0,
217,Estonia,2009,10.0,16.6
218,Finland,2009,28.9,
219,France,2009,,
220,Germany,2009,,10.5
221,Greece,2009,,
222,Hungary,2009,50.0,10.6
223,Ireland,2009,,
224,Italy,2009,,15.5
225,Latvia,2009,30.0,
226,Lithuania,2009,24.0,10.43
227,Luxembourg,2009,,
228,Malta,2009,,
229,Netherlands,2009,74.1,8.0
230,Norway,2009,44.0,
