,Country,year,purity,price
0,Austria,2002,40.0,
1,Belgium,2002,64.0,
2,Bulgaria,2002,,
3,Croatia,2002,,
4,Cyprus,2002,,
5,Czechia,2002,68.0,75.0
6,Denmark,2002,36.0,93.3
7,Estonia,2002,28.0,51.3
8,Finland,2002,,168.0
9,France,2002,62.0,
10,Germany,2002,41.7,63.93
11,Greece,2002,,
12,Hungary,2002,60.0,65.0
13,Ireland,2002,,100.0
14,Italy,2002,58.89,
15,Latvia,2002,65.0,55.0
16,Lithuania,2002,41.9,77.0
17,Luxembourg,2002,62.99,
18,Malta,2002,,
19,Netherlands,2002,68.4,
20,Norway,2002,68.0,175.0
21,Poland,2002,,
22,Portugal,2002,41.7,38.57
23,Romania,2002,,
24,Slovakia,2002,45.3,
25,Slovenia,2002,,
26,Spain,2002,50.0,75.16
27,Sweden,2002,,95.0
28,Turkey,2002,90.34,90.0
29,United Kingdom,2002,48.7,87.0
30,Austria,2003,40.0,
31,Belgium,2003,71.4,
32,Bulgaria,2003,70.0,
33,Croatia,2003,,
34,Cyprus,2003,,
35,Czechia,2003,31.7,
36,Denmark,2003,40.0,
37,Estonia,2003,,64.0
38,Finland,2003,,134.0
39,France,2003,63.7,
40,Germany,2003,32.0,60.1
41,Greece,2003,42.6,
42,Hungary,2003,40.0,60.0
43,Ireland,2003,,
44,Italy,2003,63.58,
45,Latvia,2003,72.0,38.0
46,Lithuania,2003,45.0,48.0
47,Luxembourg,2003,62.5,
48,Malta,2003,50.0,
49,Netherlands,2003,65.4,45.0
50,Norway,2003,63.0,175.0
51,Poland,2003,83.0,
52,Portugal,2003,39.3,41.4
53,Romania,2003,,90.0
54,Slovakia,2003,60.4,76.0
55,Slovenia,2003,,67.5
56,Spain,2003,51.0,78.52
57,Sweden,2003,,92.0
58,Turkey,2003,,90.0
59,United Kingdom,2003,51.2,78.35
60,Austria,2004,40.0,90.0
61,Belgium,2004,55.19,
62,Bulgaria,2004,,
63,Croatia,2004,,
64,Cyprus,2004,,
65,Czechia,2004,65.0,72.1
66,Denmark,2004,27.0,
67,Estonia,2004,54.7,63.9
68,Finland,2004,,
69,France,2004,54.6,
70,Germany,2004,34.5,58.9
71,Greece,2004,63.3,
72,Hungary,2004,35.0,60.9
73,Ireland,2004,,
74,Italy,2004,54.74,90.81
75,Latvia,2004,39.0,
76,Lithuania,2004,48.0,57.9
77,Luxembourg,2004,62.37,
78,Malta,2004,40.0,
79,Netherlands,2004,56.2,
80,Norway,2004,53.0,148.25
81,Poland,2004,80.0,
82,Portugal,2004,34.4,42.23
83,Romania,2004,,90.0
84,Slovakia,2004,28.8,70.0
85,Slovenia,2004,36.7,54.12
86,Spain,2004,50.0,71.46
87,Sweden,2004,,92.0
88,Turkey,2004,65.55,90.0
89,United Kingdom,2004,42.4,73.45
90,Austria,2005,38.4,80.0
91,Belgium,2005,61.9,
92,Bulgaria,2005,35.0,
93,Croatia,2005,32.0,60.0
94,Cyprus,2005,,
95,Czechia,2005,55.9,78.0
96,Denmark,2005,27.0,
97,Estonia,2005,38.6,73.45
98,Finland,2005,,
99,France,2005,54.3,
100,Germany,2005,34.2,60.5
101,Greece,2005,69.0,
102,Hungary,2005,36.0,59.9
103,Ireland,2005,,
104,Italy,2005,,86.91
105,Latvia,2005,39.0,
106,Lithuania,2005,49.15,52.17
107,Luxembourg,2005,51.52,
108,Malta,2005,46.3,
109,Netherlands,2005,54.3,
110,Norway,2005,50.0,106.25
111,Poland,2005,77.0,
112,Portugal,2005,32.6,45.11
113,Romania,2005,,
114,Slovakia,2005,34.8,
115,Slovenia,2005,36.9,60.42
116,Spain,2005,53.0,60.58
117,Sweden,2005,,89.0
118,Turkey,2005,,55.0
119,United Kingdom,2005,42.7,72.15
120,Austria,2006,32.3,65.0
121,Belgium,2006,52.7,
122,Bulgaria,2006,36.0,
123,Croatia,2006,37.0,60.0
124,Cyprus,2006,,
125,Czechia,2006,40.18,80.6
126,Denmark,2006,22.0,
127,Estonia,2006,34.0,73.65
128,Finland,2006,51.0,
129,France,2006,52.3,
130,Germany,2006,24.6,59.1
131,Greece,2006,50.2,
132,Hungary,2006,34.0,67.0
133,Ireland,2006,,
134,Italy,2006,53.0,84.28
135,Latvia,2006,31.0,
136,Lithuania,2006,46.0,57.18
137,Luxembourg,2006,61.78,
138,Malta,2006,47.0,76.0
139,Netherlands,2006,52.8,50.0
140,Norway,2006,35.0,106.25
141,Poland,2006,44.58,
142,Portugal,2006,44.6,45.73
143,Romania,2006,,
144,Slovakia,2006,45.8,
145,Slovenia,2006,23.9,56.5
146,Spain,2006,54.0,60.66
147,Sweden,2006,,88.0
148,Turkey,2006,64.0,90.0
149,United Kingdom,2006,34.5,72.81
150,Austria,2007,32.6,80.0
151,Belgium,2007,65.5,
152,Bulgaria,2007,23.0,
153,Croatia,2007,32.0,60.0
154,Cyprus,2007,,
155,Czechia,2007,49.1,75.1
156,Denmark,2007,22.0,
157,Estonia,2007,43.9,
158,Finland,2007,42.0,
159,France,2007,53.2,
160,Germany,2007,,63.3
161,Greece,2007,54.81,
162,Hungary,2007,32.0,58.6
163,Ireland,2007,,
164,Italy,2007,43.0,82.13
165,Latvia,2007,25.0,65.7
166,Lithuania,2007,46.0,54.59
167,Luxembourg,2007,54.65,
168,Malta,2007,,85.27
169,Netherlands,2007,56.6,50.0
170,Norway,2007,35.0,
171,Poland,2007,35.6,
172,Portugal,2007,48.1,44.65
173,Romania,2007,,
174,Slovakia,2007,35.2,
175,Slovenia,2007,30.3,
176,Spain,2007,50.5,60.75
177,Sweden,2007,,87.6
178,Turkey,2007,59.22,
179,United Kingdom,2007,33.2,67.25
180,Austria,2008,32.1,70.0
181,Belgium,2008,61.4,
182,Bulgaria,2008,25.0,
183,Croatia,2008,29.0,60.0
184,Cyprus,2008,,
185,Czechia,2008,43.5,73.2
186,Denmark,2008,23.0,70.0
187,Estonia,2008,42.9,
188,Finland,2008,28.2,
189,France,2008,32.1,
190,Germany,2008,,61.6
191,Greece,2008,,
192,Hungary,2008,31.0,57.5
193,Ireland,2008,,
194,Italy,2008,47.0,75.8
195,Latvia,2008,28.0,107.0
196,Lithuania,2008,36.0,61.11
197,Luxembourg,2008,52.13,
