,Country,year,purity,price
5,Czechia,2002,68.0,75.0
6,Denmark,2002,36.0,93.3
7,Estonia,2002,28.0,51.3
10,Germany,2002,41.7,63.93
12,Hungary,2002,60.0,65.0
15,Latvia,2002,65.0,55.0
16,Lithuania,2002,41.9,77.0
20,Norway,2002,68.0,175.0
22,Portugal,2002,41.7,38.57
26,Spain,2002,50.0,75.16
28,Turkey,2002,90.34,90.0
29,United Kingdom,2002,48.7,87.0
40,Germany,2003,32.0,60.1
42,Hungary,2003,40.0,60.0
45,Latvia,2003,72.0,38.0
46,Lithuania,2003,45.0,48.0
49,Netherlands,2003,65.4,45.0
50,Norway,2003,63.0,175.0
52,Portugal,2003,39.3,41.4
54,Slovakia,2003,60.4,76.0
56,Spain,2003,51.0,78.52
59,United Kingdom,2003,51.2,78.35
60,Austria,2004,40.0,90.0
65,Czechia,2004,65.0,72.1
67,Estonia,2004,54.7,63.9
70,Germany,2004,34.5,58.9
72,Hungary,2004,35.0,60.9
74,Italy,2004,54.74,90.81
76,Lithuania,2004,48.0,57.9
80,Norway,2004,53.0,148.25
82,Portugal,2004,34.4,42.23
84,Slovakia,2004,28.8,70.0
85,Slovenia,2004,36.7,54.12
86,Spain,2004,50.0,71.46
88,Turkey,2004,65.55,90.0
89,United Kingdom,2004,42.4,73.45
90,Austria,2005,38.4,80.0
93,Croatia,2005,32.0,60.0
95,Czechia,2005,55.9,78.0
97,Estonia,2005,38.6,73.45
100,Germany,2005,34.2,60.5
102,Hungary,2005,36.0,59.9
106,Lithuania,2005,49.15,52.17
110,Norway,2005,50.0,106.25
112,Portugal,2005,32.6,45.11
115,Slovenia,2005,36.9,60.42
116,Spain,2005,53.0,60.58
119,United Kingdom,2005,42.7,72.15
120,Austria,2006,32.3,65.0
123,Croatia,2006,37.0,60.0
125,Czechia,2006,40.18,80.6
127,Estonia,2006,34.0,73.65
130,Germany,2006,24.6,59.1
132,Hungary,2006,34.0,67.0
134,Italy,2006,53.0,84.28
136,Lithuania,2006,46.0,57.18
138,Malta,2006,47.0,76.0
139,Netherlands,2006,52.8,50.0
140,Norway,2006,35.0,106.25
142,Portugal,2006,44.6,45.73
