,country,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Andorra,,,39.0,,,,,,
1,Armenia,,,,150.0,,,,,
2,Australia,,,,24.0,,,171.0,175.0,45.0
3,Australia,229.0,,,,581.0,,,190.0,169.0
4,Austria,,28.0,26.0,60.0,53.0,44.0,44.0,,
5,Belarus,50.0,30.0,30.0,30.0,,,90.0,90.0,
6,Belarus,13.0,,70.0,70.0,,,,,
7,Belgium,12.0,11.0,12.0,11.0,,10.0,,11.0,11.0
8,Belgium,,,,49.0,,35.0,,,
9,Bosnia and Herzegovina,14.0,,10.0,,,,,9.0,
10,Bosnia and Herzegovina,,,,,,,,9.0,
11,Bulgaria,9.0,7.0,7.0,4.0,4.0,7.0,6.0,,7.0
12,Bulgaria,,,,6.0,6.0,,8.0,,
13,Canada,,,100.0,,,,,,
14,"China, Hong Kong SAR",,,,,,6.0,8.0,,
15,Colombia,,,,,,44.0,,,
16,Croatia,20.0,,,,,,,,
17,Croatia,3.0,,,,,,,,
18,Cyprus,,,,,,,,,118.0
19,Czechia,105.0,57.0,,,,30.0,,43.0,
20,Denmark,27.0,28.0,26.0,22.0,,22.0,22.0,15.0,24.0
21,Denmark,,,,,,45.0,45.0,,
22,Dominican Republic,21.0,,,,,,,,
23,Estonia,,,19.0,,20.0,,17.0,,
24,Eswatini,,,49.0,,,,,,
25,Finland,26.0,28.0,26.0,40.0,40.0,33.0,33.0,34.0,35.0
26,France,,10.0,,,73.0,,,,
27,France,,,51.0,,,,,,
28,Germany,17.0,18.0,18.0,15.0,17.0,14.0,13.0,13.0,13.0
29,Greece,8.0,14.0,13.0,13.0,13.0,11.0,11.0,11.0,12.0
30,Greece,,,,99.0,100.0,72.0,83.0,73.0,6.0
31,Guatemala,,,,,97.0,98.0,,,
32,Hungary,14.0,15.0,13.0,13.0,13.0,11.0,11.0,11.0,11.0
33,Hungary,,,,,,7.0,,,37.0
34,Iceland,,42.0,39.0,44.0,,35.0,40.0,,36.0
35,Iceland,,25.0,,,,,,,23.0
36,Indonesia,20.0,,,,,,,,
37,Ireland,,,,,,,66.0,,71.0
38,Ireland,20.0,21.0,19.0,20.0,20.0,22.0,22.0,,18.0
39,Japan,911.0,,,,,,,,
40,Latvia,13.0,17.0,15.0,15.0,23.0,17.0,17.0,13.0,14.0
41,Latvia,,,,9.0,,,,,
42,Lithuania,,,,,7.0,7.0,,,
43,Lithuania,12.0,15.0,13.0,12.0,13.0,12.0,,,
44,Luxembourg,,,,,,,,,50.0
45,Luxembourg,,38.0,35.0,36.0,,30.0,,,14.0
46,Malta,,,42.0,61.0,40.0,,,,
47,Mauritius,,,,,,,,,442.0
48,Montenegro,,,,,,22.0,,,
49,Montenegro,,,,,,22.0,,,
50,Morocco,,,,,,,31.0,,
51,Myanmar,4.0,,,,,,,,
52,Myanmar,47.0,,,,,,,,
53,Netherlands,9.0,,,11.0,10.0,,,8.0,9.0
54,North Macedonia,5.0,,,,,,,,
55,Pakistan,,,,,,,,0.0,0.0
56,Pakistan,,,,,,14.0,11.0,13.0,11.0
57,Peru,,,6.0,,,,,,
58,Peru,,,1.0,,,,,,
59,Poland,17.0,10.0,9.0,13.0,13.0,11.0,7.0,9.0,11.0
60,Portugal,,,,,,,,27.0,37.0
61,Portugal,,,,,,,3.0,28.0,30.0
62,Republic of Korea,,,,,,,70.0,,
63,Republic of Moldova,,,,,,,,,35.0
64,Russian Federation,57.0,,,,,,,,
65,Russian Federation,85.0,69.0,70.0,,,,,,
66,Serbia,,3.0,3.0,,14.0,,,,
67,Slovakia,,,,40.0,43.0,,,67.0,
68,Slovenia,29.0,,,13.0,13.0,22.0,,22.0,24.0
69,Slovenia,,,,7.0,,,,,6.0
70,Sweden,35.0,47.0,37.0,38.0,44.0,24.0,29.0,29.0,29.0
71,Switzerland,19.0,14.0,,26.0,26.0,25.0,,,
72,Tajikistan,,,,,,,,,20.0
73,Ukraine,38.0,31.0,44.0,43.0,11.0,9.0,,34.0,
74,United Kingdom,15.0,16.0,16.0,,17.0,15.0,14.0,13.0,13.0
75,United Kingdom,,40.0,32.0,,66.0,61.0,54.0,51.0,53.0
