,country,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Albania,79.0,84.0,77.0,,80.0,,78.0,90.0,94.0
1,Armenia,,,360.0,275.0,,,,,
2,Austria,,,103.0,99.0,133.0,111.0,111.0,,
3,Belarus,,110.0,110.0,110.0,,,195.0,195.0,
4,Belgium,,75.0,72.0,68.0,,59.0,,59.0,66.0
5,Benin,30.0,,,,,,,,
6,Bolivia (Plurinational State of),,,,,,,,,30.0
7,Bolivia (Plurinational State of),,6.0,6.0,,,6.0,4.0,30.0,40.0
8,Bosnia and Herzegovina,,,77.0,,,,,57.0,
9,Canada,,81.0,100.0,97.0,91.0,,75.0,77.0,77.0
10,Canada,,81.0,,,,,,,
11,Central African Republic,,,,,,,,43.0,
12,Chile,,21.0,,32.0,14.0,25.0,16.0,18.0,18.0
13,Chile,,,,,,,7.0,7.0,
14,China,,,,,60.0,59.0,56.0,88.0,
15,"China, Hong Kong SAR",,138.0,140.0,131.0,131.0,139.0,141.0,121.0,
16,"China, Macao SAR",,,,,225.0,370.0,225.0,370.0,410.0
17,Croatia,,,,106.0,,,,,
18,Cyprus,,112.0,129.0,132.0,,89.0,111.0,112.0,118.0
19,Czechia,,114.0,77.0,102.0,,81.0,,,
20,Côte d'Ivoire,40.0,,,,,,,,
21,Denmark,,94.0,86.0,89.0,,74.0,74.0,106.0,95.0
22,Dominican Republic,8.0,,,,6.0,,,7.0,
23,Ecuador,,7.0,,,,,,13.0,
24,Ecuador,5.0,5.0,,,,,,8.0,
25,El Salvador,,,,5.0,15.0,15.0,15.0,20.0,20.0
26,Estonia,,,129.0,,133.0,,,,
27,Eswatini,,,37.0,,,,,,
28,Finland,,,103.0,,,,111.0,112.0,118.0
29,France,79.0,87.0,84.0,,87.0,72.0,,,83.0
30,Germany,,92.0,83.0,91.0,101.0,82.0,84.0,81.0,83.0
31,Ghana,,,,,,,,20.0,
32,Greece,,98.0,96.0,119.0,113.0,94.0,94.0,95.0,100.0
33,Guatemala,,,,,,9.0,,,
34,Guatemala,,,,13.0,13.0,13.0,,,
35,Guyana,,,,,,5.0,,,
36,Honduras,,,,,,,,32.0,32.0
37,Honduras,,,,,,,,,12.0
38,Hungary,,75.0,67.0,67.0,65.0,72.0,71.0,73.0,74.0
39,Iceland,,131.0,131.0,144.0,,123.0,138.0,,137.0
40,Indonesia,,,,,115.0,,,,
41,Ireland,,98.0,90.0,93.0,93.0,78.0,78.0,,83.0
42,Ireland,,,219.0,,,89.0,,,
43,Israel,,113.0,,,,,,111.0,
44,Italy,,95.0,89.0,95.0,95.0,79.0,87.0,92.0,96.0
45,Japan,,252.0,,621.0,569.0,496.0,184.0,178.0,181.0
46,Kazakhstan,,,,,307.0,,,,
47,Kenya,,,,,,,,39.0,39.0
48,Latvia,,126.0,116.0,103.0,113.0,105.0,105.0,101.0,106.0
49,Lebanon,,80.0,70.0,,,,,70.0,
50,Liechtenstein,,,107.0,108.0,110.0,103.0,111.0,,
51,Lithuania,,85.0,79.0,84.0,96.0,86.0,,,
52,Luxembourg,,119.0,110.0,113.0,,95.0,,106.0,81.0
53,Madagascar,,,,,,,76.0,,
54,Malaysia,,,,,47.0,,,,
55,Mali,,,,,,,,,1.0
56,Malta,,89.0,102.0,66.0,91.0,,51.0,43.0,76.0
57,Malta,,,,,56.0,,,,
58,Mauritius,,,,,,,,,442.0
59,Montenegro,79.0,,,,113.0,100.0,,,
60,Morocco,,,,113.0,,87.0,76.0,103.0,107.0
61,Morocco,,106.0,,,,,,,
62,Netherlands,59.0,73.0,,69.0,70.0,,,56.0,58.0
63,New Zealand,,,484.0,285.0,,419.0,,,
64,Nicaragua,,,,,4.0,,,,
65,North Macedonia,73.0,,,66.0,87.0,,,,
66,Pakistan,119.0,,,,,,,,
67,Pakistan,,140.0,,133.0,,190.0,130.0,150.0,130.0
68,Paraguay,,,,,0.0,,,18.0,
69,Philippines,119.0,138.0,129.0,125.0,,,77.0,,
70,Poland,,67.0,52.0,47.0,64.0,66.0,50.0,58.0,69.0
71,Portugal,,,,,,,47.0,,
72,Portugal,,70.0,,62.0,,,,50.0,54.0
73,Republic of Moldova,,,,,182.0,,,224.0,236.0
74,Russian Federation,,170.0,206.0,,,103.0,,,
75,Saudi Arabia,134.0,,,,,,,,
76,Saudi Arabia,,,,,,,400.0,507.0,
77,Senegal,,,,,,,21.0,,27.0
78,Serbia,,84.0,77.0,,141.0,,,,
79,Slovakia,,70.0,103.0,132.0,,,89.0,112.0,
80,Slovenia,,98.0,77.0,79.0,87.0,67.0,,67.0,71.0
81,South Africa,,,,,,16.0,20.0,22.0,
82,Spain,,82.0,76.0,76.0,77.0,65.0,64.0,67.0,70.0
83,Sri Lanka,,145.0,126.0,124.0,,133.0,106.0,102.0,81.0
84,State of Palestine,,,,,,,,,84.0
85,Sudan,,,,,,,,207.0,
86,Sweden,,125.0,148.0,138.0,146.0,107.0,117.0,105.0,115.0
87,Switzerland,,102.0,96.0,,84.0,80.0,,,
88,Trinidad and Tobago,,,,,,2.0,,,
89,Turkey,,,,,79.0,,,,
90,Ukraine,,,,,200.0,,,,
91,Ukraine,,226.0,187.0,184.0,,69.0,,155.0,
92,United Arab Emirates,,,,,,,,476.0,
93,United Kingdom,,64.0,63.0,,,61.0,54.0,103.0,107.0
94,United Republic of Tanzania,,,,,,27.0,,,
95,United States of America,,,,,82.0,,,,
96,Uruguay,,13.0,15.0,20.0,17.0,15.0,20.0,20.0,20.0
97,Uruguay,,,,,,,,,2.0
