,country,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Albania,30.0,32.0,,,,,,,
1,Algeria,,,,,,,,,43.0
2,Armenia,,,80.0,65.0,,,,,
3,Armenia,,,130.0,225.0,,,,,
4,Austria,,,,,,44.0,,,
5,Austria,,,10.0,,,,,,
6,Azerbaijan,,90.0,,,,,,,
7,Azerbaijan,,15.0,,,12.0,,,,
8,Belarus,37.0,40.0,40.0,40.0,,,60.0,40.0,
9,Belgium,32.0,42.0,36.0,37.0,,25.0,,29.0,23.0
10,Bosnia and Herzegovina,34.0,,,,,,,29.0,
11,Botswana,,,,,70.0,,,,
12,Bulgaria,54.0,,46.0,,34.0,25.0,25.0,,
13,Canada,,51.0,60.0,58.0,54.0,,,,
14,Canada,,,,292.0,272.0,,,,
15,Central African Republic,,,,,,,,60.0,
16,China,,,,,,,14.0,,
17,China,67.0,108.0,95.0,92.0,81.0,80.0,77.0,,
18,"China, Hong Kong SAR",,92.0,104.0,106.0,100.0,96.0,96.0,98.0,108.0
19,"China, Macao SAR",,,,,50.0,50.0,50.0,50.0,50.0
20,Colombia,,,,,,24.0,21.0,,
21,Croatia,73.0,,,,,,,,
22,Cyprus,26.0,28.0,,,,,,,
23,Cyprus,106.0,140.0,,,,,,,
24,Czechia,,,51.0,51.0,,41.0,41.0,43.0,
25,Denmark,,,,160.0,196.0,,104.0,,
26,Dominican Republic,21.0,,,,16.0,,,21.0,
27,Ecuador,,,,,,,,22.0,
28,Finland,159.0,168.0,154.0,,,166.0,,,
29,France,53.0,,,,47.0,39.0,,,
30,Georgia,,625.0,,,,,250.0,250.0,250.0
31,Germany,48.0,59.0,55.0,65.0,58.0,56.0,53.0,48.0,52.0
32,Germany,12.0,,6.0,9.0,,16.0,14.0,,13.0
33,Greece,46.0,,,,,,,,
34,Greece,9.0,9.0,8.0,9.0,9.0,7.0,7.0,7.0,8.0
35,Guatemala,,,,48.0,49.0,50.0,,,
36,Hungary,48.0,50.0,44.0,45.0,43.0,18.0,43.0,44.0,44.0
37,India,,,,,1.0,1.0,1.0,,
38,India,,,,,16.0,23.0,14.0,,
39,Indonesia,,,,,,115.0,,,
40,Iran (Islamic Republic of),,,,,,20.0,,,
41,Ireland,,,,199.0,200.0,155.0,155.0,,
42,Israel,28.0,,,,,,,14.0,
43,Italy,81.0,87.0,,,,,,,
44,Japan,684.0,503.0,441.0,621.0,569.0,496.0,276.0,267.0,272.0
45,Japan,114.0,126.0,,104.0,95.0,83.0,,,
46,Japan,,,,,24.0,,,,
47,Kyrgyzstan,14.0,14.0,24.0,12.0,20.0,,,15.0,15.0
48,Kyrgyzstan,2.0,2.0,,2.0,10.0,25.0,,,
49,Latvia,132.0,119.0,109.0,94.0,126.0,111.0,111.0,112.0,118.0
50,Lebanon,,8.0,10.0,,,10.0,,10.0,
51,Liechtenstein,76.0,,43.0,43.0,44.0,41.0,44.0,,41.0
52,Lithuania,77.0,77.0,82.0,78.0,84.0,56.0,,,
53,Luxembourg,,78.0,,74.0,,62.0,,61.0,
54,Madagascar,,,,,,,38.0,,
55,Malaysia,,,,,7.0,,12.0,7.0,7.0
56,Malaysia,,,,,5.0,,,,
57,Malta,97.0,77.0,85.0,77.0,69.0,,85.0,29.0,55.0
58,Mauritius,329.0,,,,,,,,442.0
59,Mongolia,,,,,,,,,41.0
60,Montenegro,,,,,,22.0,,,
61,Morocco,,50.0,,89.0,,77.0,20.0,21.0,21.0
62,Myanmar,1.0,,,,,,,,
63,Myanmar,,99.0,60.0,,,61.0,24.0,22.0,21.0
64,Netherlands,51.0,,,46.0,,,,,
65,New Zealand,72.0,80.0,81.0,82.0,83.0,,,,
66,New Zealand,717.0,797.0,807.0,816.0,,699.0,697.0,567.0,
67,North Macedonia,26.0,,,23.0,24.0,24.0,,,24.0
68,Norway,,,,,,99.0,,,
69,Pakistan,3.0,7.0,,5.0,6.0,6.0,5.0,6.0,5.0
70,Pakistan,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0
71,Poland,,67.0,52.0,,64.0,45.0,41.0,53.0,69.0
72,Portugal,47.0,50.0,,34.0,,,29.0,30.0,34.0
73,Republic of Korea,30.0,,33.0,,,34.0,33.0,,
74,Republic of Korea,140.0,,122.0,,,118.0,114.0,114.0,
75,Republic of Moldova,,,,,182.0,,,224.0,
76,Russian Federation,,,12.0,17.0,8.0,6.0,,,
77,Russian Federation,116.0,99.0,79.0,75.0,51.0,36.0,,,
78,Saudi Arabia,40.0,,,,,40.0,53.0,53.0,
79,Senegal,,,,,,,12.0,,27.0
80,Serbia,26.0,28.0,26.0,,71.0,,,,
81,Slovakia,53.0,49.0,67.0,66.0,67.0,,44.0,84.0,
82,Slovenia,,,51.0,53.0,53.0,,,,
83,South Africa,,,,,,14.0,,,
84,South Africa,,,,,,20.0,14.0,15.0,
85,Spain,,83.0,76.0,76.0,76.0,64.0,64.0,64.0,69.0
86,Sri Lanka,,68.0,63.0,62.0,,44.0,68.0,56.0,37.0
87,Sri Lanka,,,,10.0,,11.0,10.0,10.0,9.0
88,State of Palestine,,,,,,,,,167.0
89,Sudan,,,,,,,,207.0,
90,Sweden,,389.0,,,146.0,,,,
91,Switzerland,,68.0,64.0,65.0,,62.0,,,
92,Tajikistan,,,,,,,5.0,,4.0
93,Tajikistan,,,,,,,35.0,,25.0
94,Turkmenistan,,212.0,245.0,,,,,,
95,Turkmenistan,,44.0,,76.0,77.0,,103.0,,
96,Ukraine,124.0,151.0,122.0,98.0,54.0,,,95.0,
97,Ukraine,,,31.0,37.0,,,,11.0,
98,United Arab Emirates,,,,,,,,11.0,
99,United Arab Emirates,,,,,,,150.0,136.0,
100,United Kingdom,,64.0,,,,,,,53.0
