,country,2010,2011,2012,2013,2014,2015,2016,2017,2018
3,Australia,,0.48,0.53,,,,0.47,,
4,Australia,,,,0.8,,,0.38,0.54,
5,Australia,0.1,,,0.05,,,,,
17,Bosnia and Herzegovina,,,,,,,0.11,,
21,Bulgaria,,,0.7,,,,,,
22,Bulgaria,0.07,0.03,0.03,0.03,,,0.12,,
26,Canada,0.75,,,,,,,,
39,Croatia,,,0.05,,,,,,
41,Czechia,0.24,,,,0.15,,,,
44,Denmark,,,,0.09,,,,,
50,Estonia,0.16,0.1,0.13,0.14,0.25,,0.16,0.17,
51,Finland,,,,,,,,0.82,0.91
54,Finland,,,,0.16,,0.2,0.19,0.16,0.24
59,Georgia,,,,,,,,0.8,0.8
64,Germany,,,0.89,,,,,,
75,Hungary,,,,,,0.75,,,
83,Ireland,,,,,,,,,0.08
84,Ireland,,,,,,,,,0.4
86,Italy,,,,0.08,,,,,
94,Latvia,,0.25,0.22,0.16,0.23,0.27,0.26,0.12,0.12
95,Latvia,,,0.37,,,,,,
98,Lebanon,,,,,,,,0.7,
100,Lebanon,,0.8,,,,,,,
103,Lithuania,,,,,,0.7,,,
105,Lithuania,,,,,,0.28,,,
109,Luxembourg,,0.16,0.16,0.23,,0.11,0.25,0.15,0.16
114,Malaysia,,,,,,,0.4,,
119,Malta,,0.07,0.09,,,,,,
127,Norway,,,0.2,,,,,,
134,Poland,,0.15,,0.13,,,,,
137,Portugal,,,0.12,,,,,,
146,Russian Federation,,,0.2,0.2,,,,,
147,Slovakia,,,,,,,,0.11,
152,Slovenia,,,,0.38,0.74,0.68,,,
156,South Africa,,,,,,,,0.5,
162,Sweden,,,,0.13,0.23,0.32,,0.28,
163,Sweden,,,,,,,,0.94,
167,Switzerland,0.26,0.21,0.21,0.35,0.19,0.19,0.17,0.19,
173,Turkey,,,0.45,,,,,,
178,United Kingdom,,0.7,,,0.72,0.72,0.75,0.74,0.76
179,United Kingdom,0.08,0.07,0.05,,0.09,0.1,0.1,0.1,0.11
