,country,2010,2011,2012,2013,2014,2015,2016,2017,2018
1,Albania,0.2,0.2,0.27,,0.27,,,,
2,Algeria,,,,0.1,,0.06,,0.06,0.06
9,Austria,,,0.09,,,,,,
10,Austria,,,,,,0.38,,,
14,Belgium,0.55,0.58,,0.58,0.58,0.64,0.78,,
20,Bulgaria,,,0.2,,,,,,
25,Canada,0.52,,,,,,,,
28,China,,,,,,0.55,,0.55,
29,China,,,,0.66,,0.61,0.61,0.61,
32,"China, Hong Kong SAR",,0.71,0.66,0.64,,,,,
35,Costa Rica,,,,,,0.75,0.78,0.87,
37,Croatia,,,0.28,,,,,,
42,Czechia,,,,,0.33,,,,
43,Denmark,,,,0.29,,,,,
46,Dominican Republic,,,,,0.1,,,,
48,Estonia,,0.3,0.42,0.43,0.43,,0.44,0.52,
52,Finland,,,,,,0.33,0.44,0.48,0.49
55,France,0.37,0.25,0.32,,0.52,,,,0.66
61,Georgia,,,,,,,,0.5,0.6
65,Germany,,,0.29,,,,,,
66,Germany,,0.39,0.63,0.61,0.71,0.69,0.74,0.78,0.77
68,Ghana,,,,0.3,,,,0.89,
69,Greece,,0.61,,,,,,,
72,Guyana,,,,,,0.7,,,
74,Hungary,,,0.25,0.35,0.4,0.5,0.56,0.35,
82,Ireland,,0.25,0.2,0.25,0.13,,,,0.3
87,Italy,,,,0.6,,0.3,,,
96,Latvia,,0.35,0.45,0.3,0.5,0.16,0.49,0.6,0.6
99,Lebanon,,0.45,0.7,,,,,0.7,0.7
102,Lithuania,,,,,,0.88,,,
107,Luxembourg,,,,,,,,,0.48
110,Luxembourg,,0.47,0.47,0.41,,0.38,0.42,0.48,0.53
111,Malaysia,,,,0.7,,,,,
113,Malaysia,,,,,0.7,,,,
116,Malta,,0.26,0.15,0.15,,,0.22,0.22,0.2
117,Malta,,,,,,,,,0.21
123,Morocco,,,,0.45,,0.54,0.9,,
126,Netherlands,0.52,0.49,,0.61,0.59,,,0.67,0.65
129,Norway,,,0.33,,,,,,
131,Paraguay,,,,,0.4,,,0.15,
132,Paraguay,,,,,,,,0.3,
136,Portugal,,,0.31,,,,,,
140,Portugal,,,,,,,,0.55,0.52
145,Russian Federation,,,0.04,0.15,,,,,
149,Slovakia,,0.25,0.2,0.2,,,0.2,0.71,
153,Slovenia,,0.32,0.42,0.51,0.49,0.54,,0.72,
157,South Africa,,,,,,,,0.55,
158,South Africa,,,,,,,,0.5,
159,Spain,,0.42,0.43,0.39,0.41,0.42,0.4,0.44,0.44
164,Sweden,,,,0.3,0.29,0.33,,0.56,
166,Switzerland,,0.26,0.32,0.28,0.32,0.42,0.57,0.66,
170,Tajikistan,,,,,,0.4,,,
171,Thailand,,,,,0.8,,,,
175,Turkey,,0.59,0.58,0.59,0.57,0.59,0.66,,
177,United Kingdom,,0.26,0.35,,0.35,0.44,0.54,0.6,0.63
180,United Kingdom,,,,,,,,,0.77
183,Viet Nam,,,,,,,,,0.63
