,country,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Albania,0.1,0.02,,,,,,,
6,Australia,,,,,,,0.16,,
7,Austria,,,,,,0.16,,,
11,Austria,,,,,,0.14,,,
15,Belgium,,,,,0.19,0.22,0.3,,
18,Bosnia and Herzegovina,,,,0.04,,,0.08,,
19,Bulgaria,,,0.06,,0.3,,,,
23,Cambodia,,,,,,,,,0.83
27,Canada,0.5,,,,,,,,
30,China,,,,0.41,,0.37,0.35,0.35,0.43
33,"China, Hong Kong SAR",,0.63,0.54,0.55,,,,,
34,Colombia,,,,,,0.63,,,
36,Croatia,0.17,0.08,,0.1,,,,,
47,Estonia,,,0.2,,,,,,
53,Finland,,,,,,0.59,,,
57,France,0.13,,,,0.15,,,,
62,Georgia,,0.28,,,,,,0.6,0.6
67,Germany,0.25,0.11,,,0.17,0.19,0.19,0.19,
70,Greece,,,0.15,,,,,,
73,Hungary,0.2,,0.15,0.2,0.2,0.25,0.15,0.15,0.2
77,India,,0.2,0.2,,0.2,0.2,0.2,,
78,India,,,,,,0.06,0.2,,
79,Indonesia,,,0.4,,,,,,
81,Ireland,,,,0.22,0.43,,,,0.35
88,Italy,,,,0.27,,,,,
89,Kazakhstan,,,,,0.3,0.3,0.3,,
90,Kosovo under UNSCR 1244,,,0.01,,,,,,
91,Kyrgyzstan,,,,,0.1,0.1,,0.05,0.05
93,Kyrgyzstan,,,,,,0.2,,,
97,Latvia,,0.17,0.14,0.12,0.12,0.13,0.15,0.12,0.12
101,Lebanon,,0.4,0.7,,,,,0.7,0.7
104,Lithuania,,,,,,0.52,,,
106,Luxembourg,,0.1,,0.14,,0.14,0.12,,0.13
112,Malaysia,,0.07,,,,,,,
115,Malta,0.37,,0.2,0.21,0.2,,0.2,0.2,0.18
120,Montenegro,,,,,,0.04,,,
121,Morocco,,,,,0.5,,,,
122,Morocco,,,,0.16,,0.07,,,
130,Norway,,,0.13,,,,,,
133,Poland,,0.2,,,,,,,
139,Portugal,,,0.1,,,,,,
143,Romania,,,,,0.23,,,,
144,Russian Federation,,,0.07,0.07,,,,,
150,Slovakia,0.12,,0.04,0.12,,,,0.06,
154,Slovenia,,0.07,0.08,0.08,0.1,,,,
155,South Africa,,,,,,,,0.5,
160,Spain,,0.31,0.31,0.28,0.31,0.33,0.31,0.32,0.3
161,Sri Lanka,,,,,,,,0.33,
165,Sweden,,,,0.18,,0.23,,0.25,
169,Switzerland,0.17,0.1,0.1,0.1,,0.15,,,
172,Turkey,,0.44,,,,0.34,0.27,,
176,United Kingdom,,0.15,,,,,,,
181,United States of America,,,,,,0.17,0.22,0.22,0.27
184,Viet Nam,,,,,,,,0.67,
