,Country,year,purity,price
0,Austria,2002,8.0,
1,Belgium,2002,,
2,Bulgaria,2002,,
3,Croatia,2002,,
4,Cyprus,2002,,
5,Czechia,2002,22.5,45.0
6,Denmark,2002,25.0,80.0
7,Estonia,2002,,
8,Finland,2002,,
9,France,2002,11.0,
10,Germany,2002,,
11,Greece,2002,,
12,Hungary,2002,,29.0
13,Ireland,2002,29.6,190.0
14,Italy,2002,15.55,
15,Latvia,2002,20.0,
16,Lithuania,2002,,56.0
17,Luxembourg,2002,9.97,
18,Malta,2002,,
19,Netherlands,2002,,
20,Norway,2002,33.0,125.0
21,Poland,2002,,
22,Portugal,2002,15.5,43.78
23,Romania,2002,,37.5
24,Slovakia,2002,6.3,
25,Slovenia,2002,,
26,Spain,2002,34.0,86.65
27,Sweden,2002,,161.0
28,Turkey,2002,49.83,9.0
29,United Kingdom,2002,40.0,91.5
30,Austria,2003,6.0,
31,Belgium,2003,,
32,Bulgaria,2003,15.0,
33,Croatia,2003,,
34,Cyprus,2003,,
35,Czechia,2003,11.8,36.1
36,Denmark,2003,25.0,
37,Estonia,2003,,128.0
38,Finland,2003,,
39,France,2003,,
40,Germany,2003,,
41,Greece,2003,15.7,
42,Hungary,2003,,30.0
43,Ireland,2003,,
44,Italy,2003,12.75,
45,Latvia,2003,14.0,
46,Lithuania,2003,,30.0
47,Luxembourg,2003,12.5,
48,Malta,2003,40.0,
49,Netherlands,2003,,
50,Norway,2003,23.0,125.0
51,Poland,2003,,
52,Portugal,2003,17.2,46.8
53,Romania,2003,,54.0
54,Slovakia,2003,10.2,
55,Slovenia,2003,,39.5
56,Spain,2003,32.0,93.61
57,Sweden,2003,,144.0
58,Turkey,2003,34.15,10.0
59,United Kingdom,2003,32.7,88.33
60,Austria,2004,14.0,60.0
61,Belgium,2004,,
62,Bulgaria,2004,10.0,
63,Croatia,2004,,
64,Cyprus,2004,,
65,Czechia,2004,12.0,32.9
66,Denmark,2004,25.0,
67,Estonia,2004,,
68,Finland,2004,,
69,France,2004,11.0,
70,Germany,2004,,39.5
71,Greece,2004,14.4,
72,Hungary,2004,,47.1
73,Ireland,2004,,
74,Italy,2004,14.81,54.35
75,Latvia,2004,,
76,Lithuania,2004,,46.3
77,Luxembourg,2004,17.07,
78,Malta,2004,30.0,
79,Netherlands,2004,,
80,Norway,2004,24.0,125.0
81,Poland,2004,,
82,Portugal,2004,18.8,46.54
83,Romania,2004,,20.0
84,Slovakia,2004,,
85,Slovenia,2004,12.1,35.4
86,Spain,2004,29.5,94.78
87,Sweden,2004,,141.0
88,Turkey,2004,48.34,12.0
89,United Kingdom,2004,39.9,79.21
90,Austria,2005,8.4,55.0
91,Belgium,2005,,
92,Bulgaria,2005,19.0,
93,Croatia,2005,19.0,35.0
94,Cyprus,2005,,
95,Czechia,2005,41.5,37.5
96,Denmark,2005,31.0,
97,Estonia,2005,,127.8
98,Finland,2005,,
99,France,2005,11.4,
100,Germany,2005,,35.0
101,Greece,2005,22.2,
102,Hungary,2005,,46.7
103,Ireland,2005,,
104,Italy,2005,,54.35
105,Latvia,2005,44.0,
106,Lithuania,2005,,34.78
107,Luxembourg,2005,28.18,
108,Malta,2005,38.6,
109,Netherlands,2005,,
110,Norway,2005,26.0,125.0
111,Poland,2005,,
112,Portugal,2005,18.5,41.01
113,Romania,2005,,
114,Slovakia,2005,,
115,Slovenia,2005,16.5,
116,Spain,2005,32.5,63.69
117,Sweden,2005,,143.0
118,Turkey,2005,51.56,8.0
119,United Kingdom,2005,46.5,79.52
120,Austria,2006,6.16,60.0
121,Belgium,2006,,
122,Bulgaria,2006,29.0,
123,Croatia,2006,19.0,30.0
124,Cyprus,2006,,
125,Czechia,2006,7.9,39.7
126,Denmark,2006,18.0,
127,Estonia,2006,,73.7
128,Finland,2006,,
129,France,2006,12.0,
130,Germany,2006,,36.7
131,Greece,2006,15.9,
132,Hungary,2006,,50.8
133,Ireland,2006,,
134,Italy,2006,,52.99
135,Latvia,2006,,
136,Lithuania,2006,,46.21
137,Luxembourg,2006,14.48,
138,Malta,2006,32.2,16.0
139,Netherlands,2006,,40.0
140,Norway,2006,22.0,137.5
141,Poland,2006,,
142,Portugal,2006,18.9,42.17
143,Romania,2006,,
