,Country,year,purity,price
5,Czechia,2002,22.5,45.0
6,Denmark,2002,25.0,80.0
13,Ireland,2002,29.6,190.0
20,Norway,2002,33.0,125.0
22,Portugal,2002,15.5,43.78
26,Spain,2002,34.0,86.65
28,Turkey,2002,49.83,9.0
29,United Kingdom,2002,40.0,91.5
35,Czechia,2003,11.8,36.1
50,Norway,2003,23.0,125.0
52,Portugal,2003,17.2,46.8
56,Spain,2003,32.0,93.61
58,Turkey,2003,34.15,10.0
59,United Kingdom,2003,32.7,88.33
60,Austria,2004,14.0,60.0
65,Czechia,2004,12.0,32.9
74,Italy,2004,14.81,54.35
80,Norway,2004,24.0,125.0
82,Portugal,2004,18.8,46.54
85,Slovenia,2004,12.1,35.4
86,Spain,2004,29.5,94.78
88,Turkey,2004,48.34,12.0
89,United Kingdom,2004,39.9,79.21
90,Austria,2005,8.4,55.0
93,Croatia,2005,19.0,35.0
95,Czechia,2005,41.5,37.5
110,Norway,2005,26.0,125.0
112,Portugal,2005,18.5,41.01
116,Spain,2005,32.5,63.69
118,Turkey,2005,51.56,8.0
119,United Kingdom,2005,46.5,79.52
120,Austria,2006,6.16,60.0
123,Croatia,2006,19.0,30.0
125,Czechia,2006,7.9,39.7
138,Malta,2006,32.2,16.0
140,Norway,2006,22.0,137.5
142,Portugal,2006,18.9,42.17
145,Slovenia,2006,20.9,37.5
146,Spain,2006,32.0,62.42
148,Turkey,2006,36.0,14.5
149,United Kingdom,2006,43.5,77.27
150,Austria,2007,9.1,80.0
153,Croatia,2007,24.0,30.0
155,Czechia,2007,17.4,40.2
156,Denmark,2007,22.0,96.3
172,Portugal,2007,25.1,37.57
176,Spain,2007,32.5,62.69
179,United Kingdom,2007,49.8,70.18
180,Austria,2008,11.3,80.0
183,Croatia,2008,23.0,30.0
185,Czechia,2008,22.6,40.1
186,Denmark,2008,18.0,107.0
198,Malta,2008,27.5,130.0
202,Portugal,2008,31.9,33.25
205,Slovenia,2008,24.0,40.0
206,Spain,2008,32.5,62.59
207,Sweden,2008,38.0,130.17
209,United Kingdom,2008,42.7,56.65
213,Croatia,2009,21.5,30.0
215,Czechia,2009,16.6,48.3
216,Denmark,2009,18.0,95.0
228,Malta,2009,35.6,70.0
232,Portugal,2009,32.4,36.62
235,Slovenia,2009,24.7,40.0
236,Spain,2009,31.5,61.79
237,Sweden,2009,32.0,135.03
239,United Kingdom,2009,44.4,50.55
243,Croatia,2010,17.8,50.7
245,Czechia,2010,24.6,50.58
246,Denmark,2010,22.0,83.5
258,Malta,2010,29.7,73.0
262,Portugal,2010,27.4,35.32
265,Slovenia,2010,19.0,23.0
266,Spain,2010,31.5,60.71
267,Sweden,2010,26.5,160.1
268,Turkey,2010,57.0,23.5
269,United Kingdom,2010,34.9,46.66
273,Croatia,2011,8.0,47.0
275,Czechia,2011,14.0,44.0
276,Denmark,2011,15.0,83.5
288,Malta,2011,28.5,55.5
292,Portugal,2011,12.8,35.74
296,Spain,2011,30.5,59.13
297,Sweden,2011,12.5,143.0
303,Croatia,2012,8.7,53.3
305,Czechia,2012,14.7,43.0
306,Denmark,2012,11.0,83.5
318,Malta,2012,20.0,66.0
320,Norway,2012,13.0,114.0
322,Portugal,2012,11.5,28.04
326,Spain,2012,31.0,58.8
327,Sweden,2012,19.0,181.0
333,Croatia,2013,11.2,53.5
335,Czechia,2013,20.19,42.5
348,Malta,2013,21.0,58.0
352,Portugal,2013,12.6,25.64
356,Spain,2013,28.5,57.31
357,Sweden,2013,21.0,158.0
363,Croatia,2014,14.5,59.1
365,Czechia,2014,29.31,37.6
366,Denmark,2014,25.0,70.0
382,Portugal,2014,14.0,31.47
386,Spain,2014,31.0,56.92
387,Sweden,2014,24.7,119.0
393,Croatia,2015,14.8,58.7
395,Czechia,2015,25.14,38.4
396,Denmark,2015,21.0,80.0
408,Malta,2015,20.0,60.0
412,Portugal,2015,19.5,31.61
416,Spain,2015,33.0,57.97
423,Croatia,2016,14.7,58.7
426,Denmark,2016,19.0,104.0
427,Estonia,2016,0.0,15.0
431,Greece,2016,30.3,22.5
442,Portugal,2016,15.5,35.46
443,Romania,2016,32.41,0.0
446,Spain,2016,31.5,57.78
447,Sweden,2016,24.0,129.0
453,Croatia,2017,21.1,58.5
456,Denmark,2017,11.5,104.0
457,Estonia,2017,32.0,15.0
461,Greece,2017,18.3,17.5
470,Norway,2017,15.0,91.73
472,Portugal,2017,15.2,34.6
476,Spain,2017,31.5,57.41
483,Croatia,2018,20.5,28.0
486,Denmark,2018,20.0,90.0
491,Greece,2018,26.4,17.5
502,Portugal,2018,18.1,50.0
506,Spain,2018,30.0,58.24
