,Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Austria,,,20.0,20.0,20.0,25.0,20.0,,,,,,,,,,
1,Belgium-A,,10.0,,9.85,8.53,10.52,7.61,9.48,8.05,7.58,8.85,8.01,9.5,8.8,10.02,9.6,9.6
4,Bulgaria-B,,,,,17.9,17.9,18.86,10.0,11.0,10.8,10.7,10.3,9.5,10.5,9.7,9.1,11.5
5,Croatia,,,,20.0,15.0,15.0,15.0,20.0,14.15,9.0,13.3,13.9,23.0,23.25,23.2,23.0,12.5
6,Cyprus,,,,,,,,,,,,,,,,,
7,Czechia,,,34.5,32.5,34.1,36.3,35.6,41.8,79.08,89.8,,63.4,,,,,63.4
8,Denmark,33.3,,,,,22.6,24.0,,18.8,18.8,18.8,,16.0,15.0,19.0,19.0,16.0
9,Estonia,11.2,9.6,6.3,9.5,16.0,,,16.6,,,,,,,0.0,22.0,
10,Finland,,25.0,,,,,,,,,,,,,,,
12,France-B,16.8,19.0,17.0,13.2,,,,,,,,,,,,,
14,Germany,13.23,12.6,12.1,11.9,12.9,12.6,12.3,10.5,12.5,13.1,14.2,11.6,13.1,12.4,11.8,11.9,11.3
15,Greece-A,,,,,,,,,,,,,,,10.0,10.0,10.0
16,Hungary,11.0,8.0,11.9,12.3,11.0,12.0,11.8,10.6,10.6,10.5,10.1,9.8,10.3,9.5,11.1,9.2,9.4
17,Ireland,6.0,,,,,,,,,,15.0,,15.0,15.0,15.0,15.0,15.0
18,Italy,,,19.2,18.12,18.12,17.9,17.5,15.5,16.7,16.7,16.8,16.05,27.35,37.7,,,
19,Latvia-A,15.0,9.0,,14.0,,12.9,12.0,,13.3,,13.56,13.51,,,,,
20,Lithuania,15.0,14.0,7.5,6.96,8.37,8.66,9.3,10.43,8.98,11.01,9.8,8.7,9.85,10.6,,25.0,10.75
21,Luxembourg-A,25.0,,,,5.0,5.0,,,,27.5,18.3,10.0,,,14.0,14.0,10.83
23,Malta,,,,,70.0,69.9,,,,,33.0,46.0,30.0,,,,
24,Netherlands,,6.0,,,5.0,5.0,6.0,8.0,6.0,8.0,9.0,7.9,7.0,7.25,7.7,7.4,7.3
25,Norway,37.5,37.5,43.75,37.5,37.5,,,,,,37.8,,,,,28.87,
26,Poland-A,10.0,13.6,8.7,8.7,8.9,,6.0,,,,,7.5,9.5,,,,
29,Portugal,,,,,,,,,,,,,,,,26.31,31.96
30,Romania,,50.0,7.0,,,,,,,,,,,,,,
31,Slovakia,,8.75,,,,,,,,,,,37.0,43.0,50.0,50.0,32.5
32,Slovenia,,,4.0,10.45,10.2,,17.0,22.0,22.0,,,,,,,0.0,
33,Spain,14.48,15.27,15.88,24.23,23.23,25.81,26.35,26.23,26.38,26.46,27.74,27.08,28.09,27.7,28.07,26.86,26.19
34,Sweden,29.0,30.0,29.0,26.0,26.0,25.31,26.37,24.71,26.6,28.0,30.0,31.0,28.0,27.0,25.0,25.0,23.0
35,Turkey,5.0,5.0,5.0,,3.0,,,,,,,,,,,,
36,United Kingdom,13.5,12.82,11.52,14.73,13.37,13.16,12.59,11.23,11.66,,,,,,,,
