,Country,year,value
0,Austria,2002,
1,Belgium-A,2002,
2,Bulgaria-B,2002,
3,Croatia,2002,
4,Cyprus,2002,
5,Czechia,2002,
6,Denmark,2002,33.3
7,Estonia,2002,11.2
8,Finland,2002,
9,France-B,2002,16.8
10,Germany,2002,13.23
11,Greece-A,2002,
12,Hungary,2002,11.0
13,Ireland,2002,6.0
14,Italy,2002,
15,Latvia-A,2002,15.0
16,Lithuania,2002,15.0
17,Luxembourg-A,2002,25.0
18,Malta,2002,
19,Netherlands,2002,
20,Norway,2002,37.5
21,Poland-A,2002,10.0
22,Portugal,2002,
23,Romania,2002,
24,Slovakia,2002,
25,Slovenia,2002,
26,Spain,2002,14.48
27,Sweden,2002,29.0
28,Turkey,2002,5.0
29,United Kingdom,2002,13.5
30,Austria,2003,
31,Belgium-A,2003,10.0
32,Bulgaria-B,2003,
33,Croatia,2003,
34,Cyprus,2003,
35,Czechia,2003,
36,Denmark,2003,
37,Estonia,2003,9.6
38,Finland,2003,25.0
39,France-B,2003,19.0
40,Germany,2003,12.6
41,Greece-A,2003,
42,Hungary,2003,8.0
43,Ireland,2003,
44,Italy,2003,
45,Latvia-A,2003,9.0
46,Lithuania,2003,14.0
47,Luxembourg-A,2003,
48,Malta,2003,
49,Netherlands,2003,6.0
50,Norway,2003,37.5
51,Poland-A,2003,13.6
52,Portugal,2003,
53,Romania,2003,50.0
54,Slovakia,2003,8.75
55,Slovenia,2003,
56,Spain,2003,15.27
57,Sweden,2003,30.0
58,Turkey,2003,5.0
59,United Kingdom,2003,12.82
60,Austria,2004,20.0
61,Belgium-A,2004,
62,Bulgaria-B,2004,
63,Croatia,2004,
64,Cyprus,2004,
65,Czechia,2004,34.5
66,Denmark,2004,
67,Estonia,2004,6.3
68,Finland,2004,
69,France-B,2004,17.0
70,Germany,2004,12.1
71,Greece-A,2004,
72,Hungary,2004,11.9
73,Ireland,2004,
74,Italy,2004,19.2
75,Latvia-A,2004,
76,Lithuania,2004,7.5
77,Luxembourg-A,2004,
78,Malta,2004,
79,Netherlands,2004,
80,Norway,2004,43.75
81,Poland-A,2004,8.7
82,Portugal,2004,
83,Romania,2004,7.0
84,Slovakia,2004,
85,Slovenia,2004,4.0
86,Spain,2004,15.88
87,Sweden,2004,29.0
88,Turkey,2004,5.0
89,United Kingdom,2004,11.52
90,Austria,2005,20.0
91,Belgium-A,2005,9.85
92,Bulgaria-B,2005,
93,Croatia,2005,20.0
94,Cyprus,2005,
95,Czechia,2005,32.5
96,Denmark,2005,
97,Estonia,2005,9.5
98,Finland,2005,
99,France-B,2005,13.2
100,Germany,2005,11.9
101,Greece-A,2005,
102,Hungary,2005,12.3
103,Ireland,2005,
104,Italy,2005,18.12
105,Latvia-A,2005,14.0
106,Lithuania,2005,6.96
107,Luxembourg-A,2005,
108,Malta,2005,
109,Netherlands,2005,
110,Norway,2005,37.5
111,Poland-A,2005,8.7
112,Portugal,2005,
113,Romania,2005,
114,Slovakia,2005,
115,Slovenia,2005,10.45
116,Spain,2005,24.23
117,Sweden,2005,26.0
118,Turkey,2005,
119,United Kingdom,2005,14.73
120,Austria,2006,20.0
121,Belgium-A,2006,8.53
122,Bulgaria-B,2006,17.9
123,Croatia,2006,15.0
124,Cyprus,2006,
125,Czechia,2006,34.1
126,Denmark,2006,
127,Estonia,2006,16.0
128,Finland,2006,
129,France-B,2006,
130,Germany,2006,12.9
131,Greece-A,2006,
132,Hungary,2006,11.0
133,Ireland,2006,
134,Italy,2006,18.12
135,Latvia-A,2006,
136,Lithuania,2006,8.37
137,Luxembourg-A,2006,5.0
138,Malta,2006,70.0
139,Netherlands,2006,5.0
140,Norway,2006,37.5
141,Poland-A,2006,8.9
142,Portugal,2006,
143,Romania,2006,
144,Slovakia,2006,
145,Slovenia,2006,10.2
146,Spain,2006,23.23
147,Sweden,2006,26.0
148,Turkey,2006,3.0
149,United Kingdom,2006,13.37
150,Austria,2007,25.0
151,Belgium-A,2007,10.52
152,Bulgaria-B,2007,17.9
153,Croatia,2007,15.0
154,Cyprus,2007,
155,Czechia,2007,36.3
156,Denmark,2007,22.6
157,Estonia,2007,
158,Finland,2007,
159,France-B,2007,
160,Germany,2007,12.6
161,Greece-A,2007,
162,Hungary,2007,12.0
163,Ireland,2007,
164,Italy,2007,17.9
165,Latvia-A,2007,12.9
166,Lithuania,2007,8.66
167,Luxembourg-A,2007,5.0
168,Malta,2007,69.9
169,Netherlands,2007,5.0
170,Norway,2007,
171,Poland-A,2007,
172,Portugal,2007,
173,Romania,2007,
174,Slovakia,2007,
175,Slovenia,2007,
176,Spain,2007,25.81
177,Sweden,2007,25.31
178,Turkey,2007,
179,United Kingdom,2007,13.16
180,Austria,2008,20.0
181,Belgium-A,2008,7.61
182,Bulgaria-B,2008,18.86
183,Croatia,2008,15.0
184,Cyprus,2008,
185,Czechia,2008,35.6
186,Denmark,2008,24.0
187,Estonia,2008,
188,Finland,2008,
189,France-B,2008,
190,Germany,2008,12.3
191,Greece-A,2008,
192,Hungary,2008,11.8
193,Ireland,2008,
194,Italy,2008,17.5
195,Latvia-A,2008,12.0
196,Lithuania,2008,9.3
197,Luxembourg-A,2008,
198,Malta,2008,
199,Netherlands,2008,6.0
200,Norway,2008,
201,Poland-A,2008,6.0
202,Portugal,2008,
203,Romania,2008,
204,Slovakia,2008,
205,Slovenia,2008,17.0
206,Spain,2008,26.35
207,Sweden,2008,26.37
208,Turkey,2008,
209,United Kingdom,2008,12.59
210,Austria,2009,
211,Belgium-A,2009,9.48
212,Bulgaria-B,2009,10.0
213,Croatia,2009,20.0
214,Cyprus,2009,
215,Czechia,2009,41.8
216,Denmark,2009,
217,Estonia,2009,16.6
218,Finland,2009,
219,France-B,2009,
220,Germany,2009,10.5
221,Greece-A,2009,
222,Hungary,2009,10.6
223,Ireland,2009,
224,Italy,2009,15.5
225,Latvia-A,2009,
226,Lithuania,2009,10.43
227,Luxembourg-A,2009,
228,Malta,2009,
229,Netherlands,2009,8.0
230,Norway,2009,
231,Poland-A,2009,
232,Portugal,2009,
233,Romania,2009,
234,Slovakia,2009,
235,Slovenia,2009,22.0
236,Spain,2009,26.23
237,Sweden,2009,24.71
238,Turkey,2009,
239,United Kingdom,2009,11.23
240,Austria,2010,
241,Belgium-A,2010,8.05
242,Bulgaria-B,2010,11.0
243,Croatia,2010,14.15
244,Cyprus,2010,
245,Czechia,2010,79.08
246,Denmark,2010,18.8
247,Estonia,2010,
248,Finland,2010,
249,France-B,2010,
250,Germany,2010,12.5
251,Greece-A,2010,
252,Hungary,2010,10.6
253,Ireland,2010,
254,Italy,2010,16.7
255,Latvia-A,2010,13.3
256,Lithuania,2010,8.98
257,Luxembourg-A,2010,
258,Malta,2010,
259,Netherlands,2010,6.0
260,Norway,2010,
261,Poland-A,2010,
262,Portugal,2010,
263,Romania,2010,
264,Slovakia,2010,
265,Slovenia,2010,22.0
266,Spain,2010,26.38
267,Sweden,2010,26.6
268,Turkey,2010,
269,United Kingdom,2010,11.66
270,Austria,2011,
271,Belgium-A,2011,7.58
272,Bulgaria-B,2011,10.8
273,Croatia,2011,9.0
274,Cyprus,2011,
275,Czechia,2011,89.8
276,Denmark,2011,18.8
277,Estonia,2011,
278,Finland,2011,
279,France-B,2011,
280,Germany,2011,13.1
281,Greece-A,2011,
282,Hungary,2011,10.5
283,Ireland,2011,
284,Italy,2011,16.7
285,Latvia-A,2011,
286,Lithuania,2011,11.01
287,Luxembourg-A,2011,27.5
288,Malta,2011,
289,Netherlands,2011,8.0
290,Norway,2011,
291,Poland-A,2011,
292,Portugal,2011,
293,Romania,2011,
294,Slovakia,2011,
295,Slovenia,2011,
296,Spain,2011,26.46
297,Sweden,2011,28.0
298,Turkey,2011,
299,United Kingdom,2011,
300,Austria,2012,
301,Belgium-A,2012,8.85
302,Bulgaria-B,2012,10.7
303,Croatia,2012,13.3
304,Cyprus,2012,
305,Czechia,2012,
306,Denmark,2012,18.8
307,Estonia,2012,
308,Finland,2012,
309,France-B,2012,
310,Germany,2012,14.2
311,Greece-A,2012,
312,Hungary,2012,10.1
313,Ireland,2012,15.0
314,Italy,2012,16.8
315,Latvia-A,2012,13.56
316,Lithuania,2012,9.8
317,Luxembourg-A,2012,18.3
318,Malta,2012,33.0
319,Netherlands,2012,9.0
320,Norway,2012,37.8
321,Poland-A,2012,
322,Portugal,2012,
323,Romania,2012,
324,Slovakia,2012,
325,Slovenia,2012,
326,Spain,2012,27.74
327,Sweden,2012,30.0
328,Turkey,2012,
329,United Kingdom,2012,
330,Austria,2013,
331,Belgium-A,2013,8.01
332,Bulgaria-B,2013,10.3
333,Croatia,2013,13.9
334,Cyprus,2013,
335,Czechia,2013,63.4
336,Denmark,2013,
337,Estonia,2013,
338,Finland,2013,
339,France-B,2013,
340,Germany,2013,11.6
341,Greece-A,2013,
342,Hungary,2013,9.8
343,Ireland,2013,
344,Italy,2013,16.05
345,Latvia-A,2013,13.51
346,Lithuania,2013,8.7
347,Luxembourg-A,2013,10.0
348,Malta,2013,46.0
349,Netherlands,2013,7.9
350,Norway,2013,
351,Poland-A,2013,7.5
352,Portugal,2013,
353,Romania,2013,
354,Slovakia,2013,
355,Slovenia,2013,
356,Spain,2013,27.08
357,Sweden,2013,31.0
358,Turkey,2013,
359,United Kingdom,2013,
360,Austria,2014,
361,Belgium-A,2014,9.5
362,Bulgaria-B,2014,9.5
363,Croatia,2014,23.0
364,Cyprus,2014,
365,Czechia,2014,
366,Denmark,2014,16.0
367,Estonia,2014,
368,Finland,2014,
369,France-B,2014,
370,Germany,2014,13.1
371,Greece-A,2014,
372,Hungary,2014,10.3
373,Ireland,2014,15.0
374,Italy,2014,27.35
375,Latvia-A,2014,
376,Lithuania,2014,9.85
377,Luxembourg-A,2014,
378,Malta,2014,30.0
