,Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Austria,,,90.0,80.0,65.0,80.0,70.0,,,,,,,,,,
1,Belgium-A,,44.5,,50.32,48.04,48.23,49.28,50.86,50.12,54.17,55.25,52.37,57.0,53.5,60.74,52.2,56.01
4,Bulgaria-B,,,,,66.5,59.2,62.75,62.0,60.0,60.0,61.0,56.0,58.0,58.5,58.1,56.4,61.9
5,Croatia,,,,60.0,60.0,60.0,60.0,50.0,77.6,77.0,79.9,80.5,78.9,78.5,,77.5,65.0
6,Cyprus,,,,,,,,,,,,,,,,,
7,Czechia,75.0,,72.1,78.0,80.6,75.1,73.2,72.7,79.08,89.8,69.7,62.1,72.0,77.5,70.08,77.675363,76.7
8,Denmark,93.3,,,,,,70.0,,65.8,65.8,65.8,,78.0,77.0,71.0,71.0,91.0
9,Estonia,51.3,64.0,63.9,73.45,73.65,,,92.1,,,,,,,0.0,135.0,
10,Finland,168.0,134.0,,,,,,,,,,,,,,,
12,France-B,,,,,61.0,,,,,,,,,,,,
14,Germany,63.93,60.1,58.9,60.5,59.1,63.3,61.6,62.4,65.6,65.7,64.9,68.7,76.1,73.8,75.8,71.6,70.3
15,Greece,,,,,,,,,,,,,,,85.0,85.0,85.0
16,Hungary,65.0,60.0,60.9,59.9,67.0,58.6,57.5,50.0,51.7,55.9,52.3,56.7,56.7,62.6,65.7,67.9,72.9
17,Ireland,100.0,,,,,,,,,,70.0,,70.0,70.0,70.0,70.0,70.0
18,Italy,,,90.81,86.91,84.28,82.13,75.8,71.25,69.16,67.83,69.91,71.37,71.11,71.08,78.16,80.95,81.3
19,Latvia,55.0,38.0,,,,65.7,107.0,,,,,,,,,,
20,Lithuania,77.0,48.0,57.9,52.17,57.18,54.59,61.11,61.16,59.37,60.24,61.4,63.7,62.85,77.5,65.0,58.0,60.0
21,Luxembourg-A,50.0,57.5,70.0,65.0,65.0,,,104.0,143.7,85.3,85.0,82.0,,84.1,86.78,94.58333,76.29
23,Malta,,,,,76.0,85.27,70.0,80.0,80.0,63.78,79.0,50.0,68.0,64.0,56.0,37.75,64.0
24,Netherlands,,45.0,,,50.0,50.0,50.0,50.0,45.0,52.0,54.0,52.4,52.4,50.8,50.0,49.0,49.3
25,Norway,175.0,175.0,148.25,106.25,106.25,,,,,,95.0,,,,,102.52,
26,Poland-A,50.0,36.4,50.0,44.8,49.2,,44.0,,,,,52.0,46.4,,,,
29,Portugal,38.57,41.4,42.23,45.11,45.73,44.65,45.56,47.44,46.0,50.07,48.01,47.0,47.81,48.63,44.45,45.51,45.68
30,Romania,,90.0,90.0,,,,,,,,,,,,0.0,,
31,Slovakia,,76.0,70.0,,,,83.5,80.0,51.0,80.0,,,91.0,99.0,,100.0,
32,Slovenia,,67.5,54.12,60.42,56.5,,69.0,70.0,65.0,,,,,,,0.0,
33,Spain,75.16,78.52,71.46,60.58,60.66,60.75,60.03,59.64,59.98,58.92,58.95,57.45,57.57,58.55,58.15,59.29,59.21
34,Sweden,95.0,92.0,92.0,89.0,88.0,87.6,91.71,82.97,94.8,98.0,105.0,103.0,100.0,98.0,96.0,95.0,89.0
35,Turkey,90.0,90.0,90.0,55.0,90.0,,,,59.0,,,,,,,,
36,United Kingdom,87.0,78.35,73.45,72.15,72.81,67.25,50.35,44.93,46.66,,,,,,,,
