,Country,year,value
0,Austria,2002,
1,Belgium-A,2002,
2,Bulgaria-B,2002,
3,Croatia,2002,
4,Cyprus,2002,
5,Czechia,2002,75.0
6,Denmark,2002,93.3
7,Estonia,2002,51.3
8,Finland,2002,168.0
9,France-B,2002,
10,Germany,2002,63.93
11,Greece,2002,
12,Hungary,2002,65.0
13,Ireland,2002,100.0
14,Italy,2002,
15,Latvia,2002,55.0
16,Lithuania,2002,77.0
17,Luxembourg-A,2002,50.0
18,Malta,2002,
19,Netherlands,2002,
20,Norway,2002,175.0
21,Poland-A,2002,50.0
22,Portugal,2002,38.57
23,Romania,2002,
24,Slovakia,2002,
25,Slovenia,2002,
26,Spain,2002,75.16
27,Sweden,2002,95.0
28,Turkey,2002,90.0
29,United Kingdom,2002,87.0
30,Austria,2003,
31,Belgium-A,2003,44.5
32,Bulgaria-B,2003,
33,Croatia,2003,
34,Cyprus,2003,
35,Czechia,2003,
36,Denmark,2003,
37,Estonia,2003,64.0
38,Finland,2003,134.0
39,France-B,2003,
40,Germany,2003,60.1
41,Greece,2003,
42,Hungary,2003,60.0
43,Ireland,2003,
44,Italy,2003,
45,Latvia,2003,38.0
46,Lithuania,2003,48.0
47,Luxembourg-A,2003,57.5
48,Malta,2003,
49,Netherlands,2003,45.0
50,Norway,2003,175.0
51,Poland-A,2003,36.4
52,Portugal,2003,41.4
53,Romania,2003,90.0
54,Slovakia,2003,76.0
55,Slovenia,2003,67.5
56,Spain,2003,78.52
57,Sweden,2003,92.0
58,Turkey,2003,90.0
59,United Kingdom,2003,78.35
60,Austria,2004,90.0
61,Belgium-A,2004,
62,Bulgaria-B,2004,
63,Croatia,2004,
64,Cyprus,2004,
65,Czechia,2004,72.1
66,Denmark,2004,
67,Estonia,2004,63.9
68,Finland,2004,
69,France-B,2004,
70,Germany,2004,58.9
71,Greece,2004,
72,Hungary,2004,60.9
73,Ireland,2004,
74,Italy,2004,90.81
75,Latvia,2004,
76,Lithuania,2004,57.9
77,Luxembourg-A,2004,70.0
78,Malta,2004,
79,Netherlands,2004,
80,Norway,2004,148.25
81,Poland-A,2004,50.0
82,Portugal,2004,42.23
83,Romania,2004,90.0
84,Slovakia,2004,70.0
85,Slovenia,2004,54.12
86,Spain,2004,71.46
87,Sweden,2004,92.0
88,Turkey,2004,90.0
89,United Kingdom,2004,73.45
90,Austria,2005,80.0
91,Belgium-A,2005,50.32
92,Bulgaria-B,2005,
93,Croatia,2005,60.0
94,Cyprus,2005,
95,Czechia,2005,78.0
96,Denmark,2005,
97,Estonia,2005,73.45
98,Finland,2005,
99,France-B,2005,
100,Germany,2005,60.5
101,Greece,2005,
102,Hungary,2005,59.9
103,Ireland,2005,
104,Italy,2005,86.91
105,Latvia,2005,
106,Lithuania,2005,52.17
107,Luxembourg-A,2005,65.0
108,Malta,2005,
109,Netherlands,2005,
110,Norway,2005,106.25
111,Poland-A,2005,44.8
112,Portugal,2005,45.11
113,Romania,2005,
114,Slovakia,2005,
115,Slovenia,2005,60.42
116,Spain,2005,60.58
117,Sweden,2005,89.0
118,Turkey,2005,55.0
119,United Kingdom,2005,72.15
120,Austria,2006,65.0
121,Belgium-A,2006,48.04
122,Bulgaria-B,2006,66.5
123,Croatia,2006,60.0
124,Cyprus,2006,
125,Czechia,2006,80.6
126,Denmark,2006,
127,Estonia,2006,73.65
128,Finland,2006,
129,France-B,2006,61.0
130,Germany,2006,59.1
131,Greece,2006,
132,Hungary,2006,67.0
133,Ireland,2006,
134,Italy,2006,84.28
135,Latvia,2006,
136,Lithuania,2006,57.18
137,Luxembourg-A,2006,65.0
138,Malta,2006,76.0
139,Netherlands,2006,50.0
140,Norway,2006,106.25
141,Poland-A,2006,49.2
142,Portugal,2006,45.73
143,Romania,2006,
144,Slovakia,2006,
145,Slovenia,2006,56.5
146,Spain,2006,60.66
147,Sweden,2006,88.0
148,Turkey,2006,90.0
149,United Kingdom,2006,72.81
150,Austria,2007,80.0
151,Belgium-A,2007,48.23
152,Bulgaria-B,2007,59.2
153,Croatia,2007,60.0
154,Cyprus,2007,
155,Czechia,2007,75.1
156,Denmark,2007,
157,Estonia,2007,
158,Finland,2007,
159,France-B,2007,
160,Germany,2007,63.3
161,Greece,2007,
162,Hungary,2007,58.6
163,Ireland,2007,
164,Italy,2007,82.13
165,Latvia,2007,65.7
166,Lithuania,2007,54.59
167,Luxembourg-A,2007,
168,Malta,2007,85.27
169,Netherlands,2007,50.0
170,Norway,2007,
171,Poland-A,2007,
172,Portugal,2007,44.65
173,Romania,2007,
174,Slovakia,2007,
175,Slovenia,2007,
176,Spain,2007,60.75
177,Sweden,2007,87.6
178,Turkey,2007,
179,United Kingdom,2007,67.25
180,Austria,2008,70.0
181,Belgium-A,2008,49.28
182,Bulgaria-B,2008,62.75
183,Croatia,2008,60.0
184,Cyprus,2008,
185,Czechia,2008,73.2
186,Denmark,2008,70.0
187,Estonia,2008,
188,Finland,2008,
189,France-B,2008,
190,Germany,2008,61.6
191,Greece,2008,
192,Hungary,2008,57.5
193,Ireland,2008,
194,Italy,2008,75.8
195,Latvia,2008,107.0
196,Lithuania,2008,61.11
197,Luxembourg-A,2008,
198,Malta,2008,70.0
199,Netherlands,2008,50.0
200,Norway,2008,
201,Poland-A,2008,44.0
202,Portugal,2008,45.56
203,Romania,2008,
204,Slovakia,2008,83.5
205,Slovenia,2008,69.0
206,Spain,2008,60.03
207,Sweden,2008,91.71
208,Turkey,2008,
209,United Kingdom,2008,50.35
210,Austria,2009,
211,Belgium-A,2009,50.86
212,Bulgaria-B,2009,62.0
213,Croatia,2009,50.0
214,Cyprus,2009,
215,Czechia,2009,72.7
216,Denmark,2009,
217,Estonia,2009,92.1
218,Finland,2009,
219,France-B,2009,
220,Germany,2009,62.4
221,Greece,2009,
222,Hungary,2009,50.0
223,Ireland,2009,
224,Italy,2009,71.25
225,Latvia,2009,
226,Lithuania,2009,61.16
227,Luxembourg-A,2009,104.0
228,Malta,2009,80.0
229,Netherlands,2009,50.0
230,Norway,2009,
231,Poland-A,2009,
232,Portugal,2009,47.44
233,Romania,2009,
234,Slovakia,2009,80.0
235,Slovenia,2009,70.0
236,Spain,2009,59.64
237,Sweden,2009,82.97
238,Turkey,2009,
239,United Kingdom,2009,44.93
240,Austria,2010,
241,Belgium-A,2010,50.12
242,Bulgaria-B,2010,60.0
243,Croatia,2010,77.6
244,Cyprus,2010,
245,Czechia,2010,79.08
246,Denmark,2010,65.8
247,Estonia,2010,
248,Finland,2010,
249,France-B,2010,
250,Germany,2010,65.6
251,Greece,2010,
252,Hungary,2010,51.7
253,Ireland,2010,
254,Italy,2010,69.16
255,Latvia,2010,
256,Lithuania,2010,59.37
257,Luxembourg-A,2010,143.7
258,Malta,2010,80.0
259,Netherlands,2010,45.0
260,Norway,2010,
261,Poland-A,2010,
262,Portugal,2010,46.0
263,Romania,2010,
264,Slovakia,2010,51.0
265,Slovenia,2010,65.0
266,Spain,2010,59.98
267,Sweden,2010,94.8
268,Turkey,2010,59.0
269,United Kingdom,2010,46.66
270,Austria,2011,
271,Belgium-A,2011,54.17
272,Bulgaria-B,2011,60.0
273,Croatia,2011,77.0
274,Cyprus,2011,
275,Czechia,2011,89.8
276,Denmark,2011,65.8
277,Estonia,2011,
278,Finland,2011,
279,France-B,2011,
280,Germany,2011,65.7
281,Greece,2011,
282,Hungary,2011,55.9
283,Ireland,2011,
284,Italy,2011,67.83
285,Latvia,2011,
286,Lithuania,2011,60.24
287,Luxembourg-A,2011,85.3
288,Malta,2011,63.78
289,Netherlands,2011,52.0
290,Norway,2011,
291,Poland-A,2011,
292,Portugal,2011,50.07
293,Romania,2011,
294,Slovakia,2011,80.0
295,Slovenia,2011,
296,Spain,2011,58.92
297,Sweden,2011,98.0
298,Turkey,2011,
299,United Kingdom,2011,
300,Austria,2012,
301,Belgium-A,2012,55.25
302,Bulgaria-B,2012,61.0
303,Croatia,2012,79.9
304,Cyprus,2012,
305,Czechia,2012,69.7
306,Denmark,2012,65.8
307,Estonia,2012,
308,Finland,2012,
309,France-B,2012,
310,Germany,2012,64.9
311,Greece,2012,
312,Hungary,2012,52.3
313,Ireland,2012,70.0
314,Italy,2012,69.91
315,Latvia,2012,
316,Lithuania,2012,61.4
317,Luxembourg-A,2012,85.0
318,Malta,2012,79.0
319,Netherlands,2012,54.0
320,Norway,2012,95.0
321,Poland-A,2012,
322,Portugal,2012,48.01
323,Romania,2012,
324,Slovakia,2012,
325,Slovenia,2012,
326,Spain,2012,58.95
327,Sweden,2012,105.0
328,Turkey,2012,
329,United Kingdom,2012,
330,Austria,2013,
331,Belgium-A,2013,52.37
332,Bulgaria-B,2013,56.0
333,Croatia,2013,80.5
334,Cyprus,2013,
335,Czechia,2013,62.1
336,Denmark,2013,
337,Estonia,2013,
338,Finland,2013,
339,France-B,2013,
340,Germany,2013,68.7
341,Greece,2013,
342,Hungary,2013,56.7
343,Ireland,2013,
344,Italy,2013,71.37
345,Latvia,2013,
346,Lithuania,2013,63.7
347,Luxembourg-A,2013,82.0
348,Malta,2013,50.0
349,Netherlands,2013,52.4
350,Norway,2013,
351,Poland-A,2013,52.0
352,Portugal,2013,47.0
353,Romania,2013,
354,Slovakia,2013,
355,Slovenia,2013,
356,Spain,2013,57.45
357,Sweden,2013,103.0
358,Turkey,2013,
359,United Kingdom,2013,
360,Austria,2014,
361,Belgium-A,2014,57.0
362,Bulgaria-B,2014,58.0
363,Croatia,2014,78.9
364,Cyprus,2014,
365,Czechia,2014,72.0
366,Denmark,2014,78.0
367,Estonia,2014,
368,Finland,2014,
369,France-B,2014,
370,Germany,2014,76.1
371,Greece,2014,
372,Hungary,2014,56.7
373,Ireland,2014,70.0
374,Italy,2014,71.11
375,Latvia,2014,
376,Lithuania,2014,62.85
377,Luxembourg-A,2014,
