,Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Austria,,,60.0,55.0,60.0,80.0,80.0,,,,,,,,,,
1,Belgium-A,,25.5,,24.71,26.1,24.98,24.58,23.53,24.64,28.69,27.44,27.71,24.8,22.1,,,
4,Bulgaria-B,,,,,32.0,32.7,32.0,23.0,25.0,24.0,30.0,32.0,28.0,25.0,21.6,23.7,28.9
5,Croatia,,,,35.0,30.0,30.0,30.0,30.0,50.7,47.0,53.3,53.5,59.1,58.7,58.7,58.5,28.0
6,Cyprus,,,,,,,,,,,,,,,,,
7,Czechia,45.0,36.1,32.9,37.5,39.7,40.2,40.1,48.3,50.58,44.0,43.0,42.5,37.6,38.4,39.72,45.3355188,
8,Denmark,80.0,,,,,96.3,107.0,95.0,83.5,83.5,83.5,,70.0,80.0,104.0,104.0,90.0
9,Estonia,,128.0,,127.8,73.7,,,,,,,,,,15.0,15.0,
10,Finland,,,,,,,,,,,,,,,,,
12,France-B,,,,,,,,,,,,,,,,,
14,Germany,,,39.5,35.0,36.7,35.6,36.2,36.9,36.2,42.4,42.9,49.1,43.5,50.2,,,
15,Greece,,,,,,,,,,,,,,,22.5,17.5,17.5
16,Hungary,29.0,30.0,47.1,46.7,50.8,51.3,52.5,43.0,40.7,41.2,38.9,38.3,39.5,40.0,,,
17,Ireland,190.0,,,,,,,,,,150.0,,140.0,140.0,140.0,140.0,140.0
18,Italy,,,54.35,54.35,52.99,50.94,46.5,41.45,41.95,41.95,41.45,41.2,39.13,38.91,38.71,45.72,43.82
19,Latvia,,,,,,138.6,106.7,114.0,132.5,,119.15,121.0,,,,,
20,Lithuania,56.0,30.0,46.3,34.78,46.21,46.21,47.21,52.17,57.63,55.03,63.7,59.1,62.85,46.7,,,
21,Luxembourg-A,50.0,40.0,82.0,80.0,70.0,,,61.0,75.3,55.8,57.4,33.3,,,51.66,54.45378,47.08
23,Malta,,,,,16.0,81.55,130.0,70.0,73.0,55.5,66.0,58.0,48.0,60.0,77.0,26.0,47.0
24,Netherlands,,,,,40.0,30.0,40.0,40.0,41.0,43.0,34.0,34.6,34.2,38.7,,,
25,Norway,125.0,125.0,125.0,125.0,137.5,,,,,,114.0,,,,,91.73,
26,Poland-A,40.0,45.5,37.5,41.0,52.9,,42.0,,,,,,53.6,,,,
29,Portugal,43.78,46.8,46.54,41.01,42.17,37.57,33.25,36.62,35.32,35.74,28.04,25.64,31.47,31.61,35.46,34.6,50.0
30,Romania,37.5,54.0,20.0,,,,,,,,,,,,0.0,,
31,Slovakia,,,,,,,38.0,35.0,40.0,35.0,,,61.0,66.0,65.0,,60.0
32,Slovenia,,39.5,35.4,,37.5,,40.0,40.0,23.0,,,,,,,,
33,Spain,86.65,93.61,94.78,63.69,62.42,62.69,62.59,61.79,60.71,59.13,58.8,57.31,56.92,57.97,57.78,57.41,58.24
34,Sweden,161.0,144.0,141.0,143.0,113.0,118.52,130.17,135.03,160.1,143.0,181.0,158.0,119.0,135.0,129.0,89.0,89.0
35,Turkey,9.0,10.0,12.0,8.0,14.5,,,,23.5,,,,,,,,
36,United Kingdom,91.5,88.33,79.21,79.52,77.27,70.18,56.65,50.55,46.66,,,,,,,,
