,Country,year,value
0,Austria,2002,
1,Belgium-A,2002,
2,Bulgaria-B,2002,
3,Croatia,2002,
4,Cyprus,2002,
5,Czechia,2002,45.0
6,Denmark,2002,80.0
7,Estonia,2002,
8,Finland,2002,
9,France-B,2002,
10,Germany,2002,
11,Greece,2002,
12,Hungary,2002,29.0
13,Ireland,2002,190.0
14,Italy,2002,
15,Latvia,2002,
16,Lithuania,2002,56.0
17,Luxembourg-A,2002,50.0
18,Malta,2002,
19,Netherlands,2002,
20,Norway,2002,125.0
21,Poland-A,2002,40.0
22,Portugal,2002,43.78
23,Romania,2002,37.5
24,Slovakia,2002,
25,Slovenia,2002,
26,Spain,2002,86.65
27,Sweden,2002,161.0
28,Turkey,2002,9.0
29,United Kingdom,2002,91.5
30,Austria,2003,
31,Belgium-A,2003,25.5
32,Bulgaria-B,2003,
33,Croatia,2003,
34,Cyprus,2003,
35,Czechia,2003,36.1
36,Denmark,2003,
37,Estonia,2003,128.0
38,Finland,2003,
39,France-B,2003,
40,Germany,2003,
41,Greece,2003,
42,Hungary,2003,30.0
43,Ireland,2003,
44,Italy,2003,
45,Latvia,2003,
46,Lithuania,2003,30.0
47,Luxembourg-A,2003,40.0
48,Malta,2003,
49,Netherlands,2003,
50,Norway,2003,125.0
51,Poland-A,2003,45.5
52,Portugal,2003,46.8
53,Romania,2003,54.0
54,Slovakia,2003,
55,Slovenia,2003,39.5
56,Spain,2003,93.61
57,Sweden,2003,144.0
58,Turkey,2003,10.0
59,United Kingdom,2003,88.33
60,Austria,2004,60.0
61,Belgium-A,2004,
62,Bulgaria-B,2004,
63,Croatia,2004,
64,Cyprus,2004,
65,Czechia,2004,32.9
66,Denmark,2004,
67,Estonia,2004,
68,Finland,2004,
69,France-B,2004,
70,Germany,2004,39.5
71,Greece,2004,
72,Hungary,2004,47.1
73,Ireland,2004,
74,Italy,2004,54.35
75,Latvia,2004,
76,Lithuania,2004,46.3
77,Luxembourg-A,2004,82.0
78,Malta,2004,
79,Netherlands,2004,
80,Norway,2004,125.0
81,Poland-A,2004,37.5
82,Portugal,2004,46.54
83,Romania,2004,20.0
84,Slovakia,2004,
85,Slovenia,2004,35.4
86,Spain,2004,94.78
87,Sweden,2004,141.0
88,Turkey,2004,12.0
89,United Kingdom,2004,79.21
90,Austria,2005,55.0
91,Belgium-A,2005,24.71
92,Bulgaria-B,2005,
93,Croatia,2005,35.0
94,Cyprus,2005,
95,Czechia,2005,37.5
96,Denmark,2005,
97,Estonia,2005,127.8
98,Finland,2005,
99,France-B,2005,
100,Germany,2005,35.0
101,Greece,2005,
102,Hungary,2005,46.7
103,Ireland,2005,
104,Italy,2005,54.35
105,Latvia,2005,
106,Lithuania,2005,34.78
107,Luxembourg-A,2005,80.0
108,Malta,2005,
109,Netherlands,2005,
110,Norway,2005,125.0
111,Poland-A,2005,41.0
112,Portugal,2005,41.01
113,Romania,2005,
114,Slovakia,2005,
115,Slovenia,2005,
116,Spain,2005,63.69
117,Sweden,2005,143.0
118,Turkey,2005,8.0
119,United Kingdom,2005,79.52
120,Austria,2006,60.0
121,Belgium-A,2006,26.1
122,Bulgaria-B,2006,32.0
123,Croatia,2006,30.0
124,Cyprus,2006,
125,Czechia,2006,39.7
126,Denmark,2006,
127,Estonia,2006,73.7
128,Finland,2006,
129,France-B,2006,
130,Germany,2006,36.7
131,Greece,2006,
132,Hungary,2006,50.8
133,Ireland,2006,
134,Italy,2006,52.99
135,Latvia,2006,
136,Lithuania,2006,46.21
137,Luxembourg-A,2006,70.0
138,Malta,2006,16.0
139,Netherlands,2006,40.0
140,Norway,2006,137.5
141,Poland-A,2006,52.9
142,Portugal,2006,42.17
143,Romania,2006,
144,Slovakia,2006,
145,Slovenia,2006,37.5
146,Spain,2006,62.42
147,Sweden,2006,113.0
148,Turkey,2006,14.5
149,United Kingdom,2006,77.27
150,Austria,2007,80.0
151,Belgium-A,2007,24.98
152,Bulgaria-B,2007,32.7
153,Croatia,2007,30.0
154,Cyprus,2007,
155,Czechia,2007,40.2
156,Denmark,2007,96.3
157,Estonia,2007,
158,Finland,2007,
159,France-B,2007,
160,Germany,2007,35.6
161,Greece,2007,
162,Hungary,2007,51.3
163,Ireland,2007,
164,Italy,2007,50.94
165,Latvia,2007,138.6
166,Lithuania,2007,46.21
167,Luxembourg-A,2007,
168,Malta,2007,81.55
169,Netherlands,2007,30.0
170,Norway,2007,
171,Poland-A,2007,
172,Portugal,2007,37.57
173,Romania,2007,
174,Slovakia,2007,
175,Slovenia,2007,
176,Spain,2007,62.69
177,Sweden,2007,118.52
178,Turkey,2007,
179,United Kingdom,2007,70.18
180,Austria,2008,80.0
181,Belgium-A,2008,24.58
182,Bulgaria-B,2008,32.0
183,Croatia,2008,30.0
184,Cyprus,2008,
185,Czechia,2008,40.1
186,Denmark,2008,107.0
187,Estonia,2008,
188,Finland,2008,
189,France-B,2008,
190,Germany,2008,36.2
191,Greece,2008,
192,Hungary,2008,52.5
193,Ireland,2008,
194,Italy,2008,46.5
195,Latvia,2008,106.7
196,Lithuania,2008,47.21
197,Luxembourg-A,2008,
198,Malta,2008,130.0
199,Netherlands,2008,40.0
200,Norway,2008,
201,Poland-A,2008,42.0
202,Portugal,2008,33.25
203,Romania,2008,
204,Slovakia,2008,38.0
205,Slovenia,2008,40.0
206,Spain,2008,62.59
207,Sweden,2008,130.17
208,Turkey,2008,
209,United Kingdom,2008,56.65
210,Austria,2009,
211,Belgium-A,2009,23.53
212,Bulgaria-B,2009,23.0
213,Croatia,2009,30.0
214,Cyprus,2009,
215,Czechia,2009,48.3
216,Denmark,2009,95.0
217,Estonia,2009,
218,Finland,2009,
219,France-B,2009,
220,Germany,2009,36.9
221,Greece,2009,
222,Hungary,2009,43.0
223,Ireland,2009,
224,Italy,2009,41.45
225,Latvia,2009,114.0
226,Lithuania,2009,52.17
227,Luxembourg-A,2009,61.0
228,Malta,2009,70.0
229,Netherlands,2009,40.0
230,Norway,2009,
231,Poland-A,2009,
232,Portugal,2009,36.62
233,Romania,2009,
234,Slovakia,2009,35.0
235,Slovenia,2009,40.0
236,Spain,2009,61.79
237,Sweden,2009,135.03
238,Turkey,2009,
239,United Kingdom,2009,50.55
240,Austria,2010,
241,Belgium-A,2010,24.64
242,Bulgaria-B,2010,25.0
243,Croatia,2010,50.7
244,Cyprus,2010,
245,Czechia,2010,50.58
246,Denmark,2010,83.5
247,Estonia,2010,
248,Finland,2010,
249,France-B,2010,
250,Germany,2010,36.2
251,Greece,2010,
252,Hungary,2010,40.7
253,Ireland,2010,
254,Italy,2010,41.95
255,Latvia,2010,132.5
256,Lithuania,2010,57.63
257,Luxembourg-A,2010,75.3
258,Malta,2010,73.0
259,Netherlands,2010,41.0
260,Norway,2010,
261,Poland-A,2010,
262,Portugal,2010,35.32
263,Romania,2010,
264,Slovakia,2010,40.0
265,Slovenia,2010,23.0
266,Spain,2010,60.71
267,Sweden,2010,160.1
268,Turkey,2010,23.5
269,United Kingdom,2010,46.66
270,Austria,2011,
271,Belgium-A,2011,28.69
272,Bulgaria-B,2011,24.0
273,Croatia,2011,47.0
274,Cyprus,2011,
275,Czechia,2011,44.0
276,Denmark,2011,83.5
277,Estonia,2011,
278,Finland,2011,
279,France-B,2011,
280,Germany,2011,42.4
281,Greece,2011,
282,Hungary,2011,41.2
283,Ireland,2011,
284,Italy,2011,41.95
285,Latvia,2011,
286,Lithuania,2011,55.03
287,Luxembourg-A,2011,55.8
288,Malta,2011,55.5
289,Netherlands,2011,43.0
290,Norway,2011,
291,Poland-A,2011,
292,Portugal,2011,35.74
293,Romania,2011,
294,Slovakia,2011,35.0
295,Slovenia,2011,
296,Spain,2011,59.13
297,Sweden,2011,143.0
298,Turkey,2011,
299,United Kingdom,2011,
300,Austria,2012,
301,Belgium-A,2012,27.44
302,Bulgaria-B,2012,30.0
303,Croatia,2012,53.3
304,Cyprus,2012,
305,Czechia,2012,43.0
306,Denmark,2012,83.5
307,Estonia,2012,
308,Finland,2012,
309,France-B,2012,
310,Germany,2012,42.9
311,Greece,2012,
312,Hungary,2012,38.9
313,Ireland,2012,150.0
314,Italy,2012,41.45
315,Latvia,2012,119.15
316,Lithuania,2012,63.7
317,Luxembourg-A,2012,57.4
318,Malta,2012,66.0
319,Netherlands,2012,34.0
320,Norway,2012,114.0
321,Poland-A,2012,
322,Portugal,2012,28.04
323,Romania,2012,
324,Slovakia,2012,
325,Slovenia,2012,
326,Spain,2012,58.8
327,Sweden,2012,181.0
328,Turkey,2012,
329,United Kingdom,2012,
330,Austria,2013,
331,Belgium-A,2013,27.71
332,Bulgaria-B,2013,32.0
333,Croatia,2013,53.5
334,Cyprus,2013,
335,Czechia,2013,42.5
336,Denmark,2013,
337,Estonia,2013,
338,Finland,2013,
339,France-B,2013,
340,Germany,2013,49.1
341,Greece,2013,
342,Hungary,2013,38.3
343,Ireland,2013,
344,Italy,2013,41.2
345,Latvia,2013,121.0
346,Lithuania,2013,59.1
347,Luxembourg-A,2013,33.3
348,Malta,2013,58.0
349,Netherlands,2013,34.6
350,Norway,2013,
351,Poland-A,2013,
352,Portugal,2013,25.64
353,Romania,2013,
354,Slovakia,2013,
355,Slovenia,2013,
356,Spain,2013,57.31
357,Sweden,2013,158.0
358,Turkey,2013,
359,United Kingdom,2013,
360,Austria,2014,
361,Belgium-A,2014,24.8
362,Bulgaria-B,2014,28.0
363,Croatia,2014,59.1
364,Cyprus,2014,
365,Czechia,2014,37.6
366,Denmark,2014,70.0
367,Estonia,2014,
368,Finland,2014,
369,France-B,2014,
370,Germany,2014,43.5
371,Greece,2014,
372,Hungary,2014,39.5
373,Ireland,2014,140.0
374,Italy,2014,39.13
375,Latvia,2014,
376,Lithuania,2014,62.85
377,Luxembourg-A,2014,
378,Malta,2014,48.0
