,Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Austria,,,,41.8,25.3,24.4,46.3,58.4,56.7,52.0,54.4,55.96,63.46,51.47,58.69,57.16,57.16
1,Belgium,,,,,,,80.4,32.0,12.9,28.7,,,,,,,86.0
2,Bulgaria,,,,15.0,25.0,22.0,36.0,11.8,38.3,32.8,37.6,36.9,34.8,41.6,42.3,46.7,
3,Croatia,,,,,45.0,48.0,55.0,76.0,43.3,40.0,31.8,67.3,66.2,60.4,78.0,69.4,79.7
4,Cyprus,,,,,,,,,,,,,,,,,77.28
5,Czechia,40.0,62.5,50.0,62.9,52.3,66.4,64.28,68.1,64.4,69.01,71.6,71.03,69.75,70.37,67.39,64.429774,62.3
6,Denmark,,19.0,29.0,21.0,10.0,18.0,23.0,16.0,5.0,16.0,17.0,45.0,9.0,,,,80.0
7,Estonia,,53.0,19.0,33.2,35.0,30.0,26.8,10.0,20.5,16.0,18.0,20.0,16.0,16.0,19.5,34.0,21.0
8,Finland,,,,,35.0,14.0,29.7,28.9,28.6,22.0,15.0,13.0,14.0,23.0,33.0,18.0,21.0
9,France,,,,64.0,15.4,10.8,,,79.3,78.8,75.0,64.7,67.0,74.6,65.0,69.54,67.8
10,Germany,,,21.0,10.0,,,,,,,,,,,73.0,72.0,
11,Greece,,,,,,,,,,,,,,,,,
12,Hungary,,,,,47.0,,,50.0,49.0,35.0,48.0,36.0,50.0,50.0,54.2,55.0,41.6
13,Ireland,,,,,,,,,,,,,,,,,
14,Italy,,,,,58.0,72.0,,,54.0,67.6,75.4,37.3,31.0,25.0,49.0,51.0,47.0
15,Latvia,,,,43.0,30.0,20.0,32.0,30.0,30.0,26.0,28.0,27.0,28.0,35.0,22.13,20.59,23.6
16,Lithuania,,40.0,38.0,33.0,31.0,31.0,29.0,24.0,24.0,20.0,19.0,17.0,18.0,21.0,17.9,16.4,17.5
17,Luxembourg,,,,,,,,,,,,,,,,,
18,Malta,,,,,,,,,,,,,,,,,
19,Netherlands,,,55.6,45.1,41.8,57.3,22.3,74.1,52.2,29.0,28.7,61.5,71.2,74.0,59.0,57.7,54.5
20,Norway,,,,50.0,54.0,45.0,39.0,44.0,44.0,38.0,33.0,35.0,36.0,38.0,43.0,39.0,32.0
21,Poland,,,,,,,,,,,,,,,,,
22,Portugal,,,,,,,,25.2,,30.1,,89.1,,70.2,88.3,,56.8
23,Romania,,,,,,,,,,,,7.19,,,,,
24,Slovakia,45.0,49.0,42.9,46.7,61.7,59.6,63.5,67.1,65.7,69.2,73.4,69.6,72.6,63.8,59.5,54.9,
25,Slovenia,,,,,,,,,,10.1,79.9,,,,,,
26,Spain,,,,,,,,,,,,,,,,,
27,Sweden,,,,,,,33.0,25.0,31.0,34.0,41.0,37.0,51.0,41.2,40.0,12.0,
28,Turkey,,,,,,,,61.0,65.0,82.3,46.08,75.91,58.87,78.87,71.0,70.0326,72.21
29,United Kingdom,,,,77.0,54.5,,59.9,54.8,73.6,44.0,90.4,,67.0,74.0,75.0,71.0,73.0
