,Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Austria,40.0,40.0,40.0,38.4,32.3,32.6,32.1,27.6,27.3,27.52,28.07,26.05,31.6,33.37,45.93,51.37,51.37
1,Belgium,64.0,71.4,55.19,61.9,52.7,65.5,61.4,51.3,55.1,56.1,59.16,57.61,64.2,78.2,68.86,74.3,72.25
2,Bulgaria,,70.0,,35.0,36.0,23.0,25.0,24.0,27.2,21.9,24.8,30.5,35.8,47.7,47.5,53.7,51.4
3,Croatia,,,,32.0,37.0,32.0,29.0,22.7,28.8,27.0,29.6,34.8,39.1,47.3,52.8,59.4,60.0
4,Cyprus,,,,,,,,,,,,,,,,43.29,63.65
5,Czechia,68.0,31.7,65.0,55.9,40.18,49.1,43.5,33.1,27.9,45.04,36.9,33.02,25.9,39.1,,49.088919,32.8
6,Denmark,36.0,40.0,27.0,27.0,22.0,22.0,23.0,18.0,24.0,22.0,24.0,29.0,30.0,37.0,55.0,60.4,61.0
7,Estonia,28.0,,54.7,38.6,34.0,43.9,42.9,38.0,36.0,33.0,46.0,41.0,39.0,35.0,46.4,54.0,52.0
8,Finland,,,,,51.0,42.0,28.2,35.0,29.0,30.0,32.0,42.0,27.0,33.0,49.0,52.0,55.0
9,France,62.0,63.7,54.6,54.3,52.3,53.2,32.1,29.0,45.8,45.0,49.0,55.7,51.9,55.2,58.3,62.96,66.6
10,Germany,41.7,32.0,34.5,34.2,24.6,,,,,,,,,,74.1,78.4,77.0
11,Greece,,42.6,63.3,69.0,50.2,54.81,,,,61.1,59.0,75.0,51.2,72.0,75.0,52.7,67.1
12,Hungary,60.0,40.0,35.0,36.0,34.0,32.0,31.0,23.0,22.0,50.0,41.0,44.0,40.0,50.0,53.4,56.0,57.5
13,Ireland,,,,,,,,11.8,,,,36.1,41.9,43.2,,,
14,Italy,58.89,63.58,54.74,,53.0,43.0,47.0,46.3,46.0,47.0,50.2,59.8,55.0,50.0,66.0,68.0,68.0
15,Latvia,65.0,72.0,39.0,39.0,31.0,25.0,28.0,26.0,36.0,29.0,42.0,30.0,37.0,40.0,51.64,52.52,54.59
16,Lithuania,41.9,45.0,48.0,49.15,46.0,46.0,36.0,37.0,37.0,26.0,38.0,43.0,38.0,44.0,46.1,42.7,44.1
17,Luxembourg,62.99,62.5,62.37,51.52,61.78,54.65,52.13,42.46,47.9,46.74,44.45,41.0,38.1,41.63,44.435,48.4,52.7
18,Malta,,50.0,40.0,46.3,47.0,,35.0,19.8,29.5,35.5,15.5,20.0,,15.0,,,
19,Netherlands,68.4,65.4,56.2,54.3,52.8,56.6,55.4,48.7,52.3,49.2,58.3,61.3,59.1,64.0,66.8,68.3,65.4
20,Norway,68.0,63.0,53.0,50.0,35.0,35.0,37.0,25.0,37.0,31.0,33.0,34.0,33.0,32.0,47.0,53.0,61.0
21,Poland,,83.0,80.0,77.0,44.58,35.6,43.76,,,,,,,,,,
22,Portugal,41.7,39.3,34.4,32.6,44.6,48.1,48.4,38.7,38.9,33.7,32.8,37.3,40.1,34.6,40.3,43.9,50.1
23,Romania,,,,,,,62.0,33.75,,51.86,36.07,41.23,33.45,34.3,40.69,34.74,39.3
24,Slovakia,45.3,60.4,28.8,34.8,45.8,35.2,36.8,30.1,48.3,46.74,35.9,35.4,39.0,51.5,49.9,65.6,55.4
25,Slovenia,,,36.7,36.9,23.9,30.3,28.8,34.7,29.2,31.6,43.1,51.4,49.8,54.6,69.7,69.7,59.1
26,Spain,50.0,51.0,50.0,53.0,54.0,50.5,49.5,49.0,45.5,42.0,42.5,39.0,41.0,42.0,39.5,43.5,43.5
27,Sweden,,,,,,,39.5,29.0,31.5,29.0,34.0,31.0,43.0,39.3,52.0,58.0,57.0
28,Turkey,90.34,,65.55,,64.0,59.22,46.0,36.0,53.0,58.7,57.65,59.05,56.84,59.27,65.56,58.229,62.55
29,United Kingdom,48.7,51.2,42.4,42.7,34.5,33.2,28.8,20.3,23.8,26.2,36.8,38.0,36.0,44.0,54.0,60.0,63.0
