,Country,year,value
0,Austria,2002,40.0
1,Belgium,2002,64.0
2,Bulgaria,2002,
3,Croatia,2002,
4,Cyprus,2002,
5,Czechia,2002,68.0
6,Denmark,2002,36.0
7,Estonia,2002,28.0
8,Finland,2002,
9,France,2002,62.0
10,Germany,2002,41.7
11,Greece,2002,
12,Hungary,2002,60.0
13,Ireland,2002,
14,Italy,2002,58.89
15,Latvia,2002,65.0
16,Lithuania,2002,41.9
17,Luxembourg,2002,62.99
18,Malta,2002,
19,Netherlands,2002,68.4
20,Norway,2002,68.0
21,Poland,2002,
22,Portugal,2002,41.7
23,Romania,2002,
24,Slovakia,2002,45.3
25,Slovenia,2002,
26,Spain,2002,50.0
27,Sweden,2002,
28,Turkey,2002,90.34
29,United Kingdom,2002,48.7
30,Austria,2003,40.0
31,Belgium,2003,71.4
32,Bulgaria,2003,70.0
33,Croatia,2003,
34,Cyprus,2003,
35,Czechia,2003,31.7
36,Denmark,2003,40.0
37,Estonia,2003,
38,Finland,2003,
39,France,2003,63.7
40,Germany,2003,32.0
41,Greece,2003,42.6
42,Hungary,2003,40.0
43,Ireland,2003,
44,Italy,2003,63.58
45,Latvia,2003,72.0
46,Lithuania,2003,45.0
47,Luxembourg,2003,62.5
48,Malta,2003,50.0
49,Netherlands,2003,65.4
50,Norway,2003,63.0
51,Poland,2003,83.0
52,Portugal,2003,39.3
53,Romania,2003,
54,Slovakia,2003,60.4
55,Slovenia,2003,
56,Spain,2003,51.0
57,Sweden,2003,
58,Turkey,2003,
59,United Kingdom,2003,51.2
60,Austria,2004,40.0
61,Belgium,2004,55.19
62,Bulgaria,2004,
63,Croatia,2004,
64,Cyprus,2004,
65,Czechia,2004,65.0
66,Denmark,2004,27.0
67,Estonia,2004,54.7
68,Finland,2004,
69,France,2004,54.6
70,Germany,2004,34.5
71,Greece,2004,63.3
72,Hungary,2004,35.0
73,Ireland,2004,
74,Italy,2004,54.74
75,Latvia,2004,39.0
76,Lithuania,2004,48.0
77,Luxembourg,2004,62.37
78,Malta,2004,40.0
79,Netherlands,2004,56.2
80,Norway,2004,53.0
81,Poland,2004,80.0
82,Portugal,2004,34.4
83,Romania,2004,
84,Slovakia,2004,28.8
85,Slovenia,2004,36.7
86,Spain,2004,50.0
87,Sweden,2004,
88,Turkey,2004,65.55
89,United Kingdom,2004,42.4
90,Austria,2005,38.4
91,Belgium,2005,61.9
92,Bulgaria,2005,35.0
93,Croatia,2005,32.0
94,Cyprus,2005,
95,Czechia,2005,55.9
96,Denmark,2005,27.0
97,Estonia,2005,38.6
98,Finland,2005,
99,France,2005,54.3
100,Germany,2005,34.2
101,Greece,2005,69.0
102,Hungary,2005,36.0
103,Ireland,2005,
104,Italy,2005,
105,Latvia,2005,39.0
106,Lithuania,2005,49.15
107,Luxembourg,2005,51.52
108,Malta,2005,46.3
109,Netherlands,2005,54.3
110,Norway,2005,50.0
111,Poland,2005,77.0
112,Portugal,2005,32.6
113,Romania,2005,
114,Slovakia,2005,34.8
115,Slovenia,2005,36.9
116,Spain,2005,53.0
117,Sweden,2005,
118,Turkey,2005,
119,United Kingdom,2005,42.7
120,Austria,2006,32.3
121,Belgium,2006,52.7
122,Bulgaria,2006,36.0
123,Croatia,2006,37.0
124,Cyprus,2006,
125,Czechia,2006,40.18
126,Denmark,2006,22.0
127,Estonia,2006,34.0
128,Finland,2006,51.0
129,France,2006,52.3
130,Germany,2006,24.6
131,Greece,2006,50.2
132,Hungary,2006,34.0
133,Ireland,2006,
134,Italy,2006,53.0
135,Latvia,2006,31.0
136,Lithuania,2006,46.0
137,Luxembourg,2006,61.78
138,Malta,2006,47.0
139,Netherlands,2006,52.8
140,Norway,2006,35.0
141,Poland,2006,44.58
142,Portugal,2006,44.6
143,Romania,2006,
144,Slovakia,2006,45.8
145,Slovenia,2006,23.9
146,Spain,2006,54.0
147,Sweden,2006,
148,Turkey,2006,64.0
149,United Kingdom,2006,34.5
150,Austria,2007,32.6
151,Belgium,2007,65.5
152,Bulgaria,2007,23.0
153,Croatia,2007,32.0
154,Cyprus,2007,
155,Czechia,2007,49.1
156,Denmark,2007,22.0
157,Estonia,2007,43.9
158,Finland,2007,42.0
159,France,2007,53.2
160,Germany,2007,
161,Greece,2007,54.81
162,Hungary,2007,32.0
163,Ireland,2007,
164,Italy,2007,43.0
165,Latvia,2007,25.0
166,Lithuania,2007,46.0
167,Luxembourg,2007,54.65
168,Malta,2007,
169,Netherlands,2007,56.6
170,Norway,2007,35.0
171,Poland,2007,35.6
172,Portugal,2007,48.1
173,Romania,2007,
174,Slovakia,2007,35.2
175,Slovenia,2007,30.3
176,Spain,2007,50.5
177,Sweden,2007,
178,Turkey,2007,59.22
179,United Kingdom,2007,33.2
180,Austria,2008,32.1
181,Belgium,2008,61.4
182,Bulgaria,2008,25.0
183,Croatia,2008,29.0
184,Cyprus,2008,
185,Czechia,2008,43.5
186,Denmark,2008,23.0
187,Estonia,2008,42.9
188,Finland,2008,28.2
189,France,2008,32.1
190,Germany,2008,
191,Greece,2008,
192,Hungary,2008,31.0
193,Ireland,2008,
194,Italy,2008,47.0
195,Latvia,2008,28.0
196,Lithuania,2008,36.0
197,Luxembourg,2008,52.13
198,Malta,2008,35.0
199,Netherlands,2008,55.4
200,Norway,2008,37.0
201,Poland,2008,43.76
202,Portugal,2008,48.4
203,Romania,2008,62.0
204,Slovakia,2008,36.8
205,Slovenia,2008,28.8
206,Spain,2008,49.5
207,Sweden,2008,39.5
208,Turkey,2008,46.0
209,United Kingdom,2008,28.8
210,Austria,2009,27.6
211,Belgium,2009,51.3
212,Bulgaria,2009,24.0
213,Croatia,2009,22.7
214,Cyprus,2009,
215,Czechia,2009,33.1
216,Denmark,2009,18.0
217,Estonia,2009,38.0
218,Finland,2009,35.0
219,France,2009,29.0
220,Germany,2009,
221,Greece,2009,
222,Hungary,2009,23.0
223,Ireland,2009,11.8
224,Italy,2009,46.3
225,Latvia,2009,26.0
226,Lithuania,2009,37.0
227,Luxembourg,2009,42.46
228,Malta,2009,19.8
229,Netherlands,2009,48.7
230,Norway,2009,25.0
231,Poland,2009,
232,Portugal,2009,38.7
233,Romania,2009,33.75
234,Slovakia,2009,30.1
