,Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Austria,8.0,6.0,14.0,8.4,6.16,9.1,11.3,12.9,12.9,5.8,6.43,7.59,11.89,13.67,13.67,15.02,15.02
1,Belgium,,,,,,,,,,,,,,,21.25,27.3,28.87
2,Bulgaria,,15.0,10.0,19.0,29.0,22.0,31.0,31.4,27.2,13.3,13.7,17.3,26.8,33.7,,,
3,Croatia,,,,19.0,19.0,24.0,23.0,21.5,17.8,8.0,8.7,11.2,14.5,14.8,14.7,21.1,20.5
4,Cyprus,,,,,,,,,,,,,,,,,
5,Czechia,22.5,11.8,12.0,41.5,7.9,17.4,22.6,16.6,24.6,14.0,14.7,20.19,29.31,25.14,,,
6,Denmark,25.0,25.0,25.0,31.0,18.0,22.0,18.0,18.0,22.0,15.0,11.0,19.0,25.0,21.0,19.0,11.5,20.0
7,Estonia,,,,,,,,,,,,,,,0.0,32.0,42.4
8,Finland,,,,,,,,,,,,,,,40.0,31.0,
9,France,11.0,,11.0,11.4,12.0,12.0,10.8,13.5,13.2,7.7,7.0,11.3,14.9,16.0,14.6,16.45,16.57
10,Germany,,,,,,,,,,,,,,,,,
11,Greece,,15.7,14.4,22.2,15.9,19.32,,,,12.8,15.0,,51.7,28.7,30.3,18.3,26.4
12,Hungary,,,,,,,,,,,,,,,21.0,28.0,28.7
13,Ireland,29.6,,,,,,,,,,,,,,,,
14,Italy,15.55,12.75,14.81,,,,,,,,,,,,,,
15,Latvia,20.0,14.0,,44.0,,,,,,,,,,,18.08,16.88,29.6
16,Lithuania,,,,,,,,,,,,,,,,,
17,Luxembourg,9.97,12.5,17.07,28.18,14.48,14.95,14.5,16.84,17.4,10.08,9.6,13.9,13.52,11.93,11.045,12.1,13.4
18,Malta,,40.0,30.0,38.6,32.2,,27.5,35.6,29.7,28.5,20.0,21.0,,20.0,,,
19,Netherlands,,,,,,,,,,,,,,,41.2,51.3,48.3
20,Norway,33.0,23.0,24.0,26.0,22.0,35.0,31.0,25.0,21.0,15.0,13.0,17.0,20.0,19.0,19.0,15.0,15.0
21,Poland,,,,,,,,,,,,,,,,,
22,Portugal,15.5,17.2,18.8,18.5,18.9,25.1,31.9,32.4,27.4,12.8,11.5,12.6,14.0,19.5,15.5,15.2,18.1
23,Romania,,,,,,,43.0,35.92,,,,,,,32.41,,19.47
24,Slovakia,6.3,10.2,,,,,,,,,,,,,,,
25,Slovenia,,,12.1,16.5,20.9,29.6,24.0,24.7,19.0,6.9,8.5,9.0,10.8,13.3,11.9,11.8,25.2
26,Spain,34.0,32.0,29.5,32.5,32.0,32.5,32.5,31.5,31.5,30.5,31.0,28.5,31.0,33.0,31.5,31.5,30.0
27,Sweden,,,,,,,38.0,32.0,26.5,12.5,19.0,21.0,24.7,,24.0,,
28,Turkey,49.83,34.15,48.34,51.56,36.0,56.4,7.0,37.0,57.0,43.57,33.63,41.51,32.92,34.29,27.37,27.494,22.75
29,United Kingdom,40.0,32.7,39.9,46.5,43.5,49.8,42.7,44.4,34.9,17.6,19.5,29.0,36.0,44.0,43.0,37.5,46.0
