,Country,year,value
0,Austria,2002,8.0
1,Belgium,2002,
2,Bulgaria,2002,
3,Croatia,2002,
4,Cyprus,2002,
5,Czechia,2002,22.5
6,Denmark,2002,25.0
7,Estonia,2002,
8,Finland,2002,
9,France,2002,11.0
10,Germany,2002,
11,Greece,2002,
12,Hungary,2002,
13,Ireland,2002,29.6
14,Italy,2002,15.55
15,Latvia,2002,20.0
16,Lithuania,2002,
17,Luxembourg,2002,9.97
18,Malta,2002,
19,Netherlands,2002,
20,Norway,2002,33.0
21,Poland,2002,
22,Portugal,2002,15.5
23,Romania,2002,
24,Slovakia,2002,6.3
25,Slovenia,2002,
26,Spain,2002,34.0
27,Sweden,2002,
28,Turkey,2002,49.83
29,United Kingdom,2002,40.0
30,Austria,2003,6.0
31,Belgium,2003,
32,Bulgaria,2003,15.0
33,Croatia,2003,
34,Cyprus,2003,
35,Czechia,2003,11.8
36,Denmark,2003,25.0
37,Estonia,2003,
38,Finland,2003,
39,France,2003,
40,Germany,2003,
41,Greece,2003,15.7
42,Hungary,2003,
43,Ireland,2003,
44,Italy,2003,12.75
45,Latvia,2003,14.0
46,Lithuania,2003,
47,Luxembourg,2003,12.5
48,Malta,2003,40.0
49,Netherlands,2003,
50,Norway,2003,23.0
51,Poland,2003,
52,Portugal,2003,17.2
53,Romania,2003,
54,Slovakia,2003,10.2
55,Slovenia,2003,
56,Spain,2003,32.0
57,Sweden,2003,
58,Turkey,2003,34.15
59,United Kingdom,2003,32.7
60,Austria,2004,14.0
61,Belgium,2004,
62,Bulgaria,2004,10.0
63,Croatia,2004,
64,Cyprus,2004,
65,Czechia,2004,12.0
66,Denmark,2004,25.0
67,Estonia,2004,
68,Finland,2004,
69,France,2004,11.0
70,Germany,2004,
71,Greece,2004,14.4
72,Hungary,2004,
73,Ireland,2004,
74,Italy,2004,14.81
75,Latvia,2004,
76,Lithuania,2004,
77,Luxembourg,2004,17.07
78,Malta,2004,30.0
79,Netherlands,2004,
80,Norway,2004,24.0
81,Poland,2004,
82,Portugal,2004,18.8
83,Romania,2004,
84,Slovakia,2004,
85,Slovenia,2004,12.1
86,Spain,2004,29.5
87,Sweden,2004,
88,Turkey,2004,48.34
89,United Kingdom,2004,39.9
90,Austria,2005,8.4
91,Belgium,2005,
92,Bulgaria,2005,19.0
93,Croatia,2005,19.0
94,Cyprus,2005,
95,Czechia,2005,41.5
96,Denmark,2005,31.0
97,Estonia,2005,
98,Finland,2005,
99,France,2005,11.4
100,Germany,2005,
101,Greece,2005,22.2
102,Hungary,2005,
103,Ireland,2005,
104,Italy,2005,
105,Latvia,2005,44.0
106,Lithuania,2005,
107,Luxembourg,2005,28.18
108,Malta,2005,38.6
109,Netherlands,2005,
110,Norway,2005,26.0
111,Poland,2005,
112,Portugal,2005,18.5
113,Romania,2005,
114,Slovakia,2005,
115,Slovenia,2005,16.5
116,Spain,2005,32.5
117,Sweden,2005,
118,Turkey,2005,51.56
119,United Kingdom,2005,46.5
120,Austria,2006,6.16
121,Belgium,2006,
122,Bulgaria,2006,29.0
123,Croatia,2006,19.0
124,Cyprus,2006,
125,Czechia,2006,7.9
126,Denmark,2006,18.0
127,Estonia,2006,
128,Finland,2006,
129,France,2006,12.0
130,Germany,2006,
131,Greece,2006,15.9
132,Hungary,2006,
133,Ireland,2006,
134,Italy,2006,
135,Latvia,2006,
136,Lithuania,2006,
137,Luxembourg,2006,14.48
138,Malta,2006,32.2
139,Netherlands,2006,
140,Norway,2006,22.0
141,Poland,2006,
142,Portugal,2006,18.9
143,Romania,2006,
144,Slovakia,2006,
145,Slovenia,2006,20.9
146,Spain,2006,32.0
147,Sweden,2006,
148,Turkey,2006,36.0
149,United Kingdom,2006,43.5
150,Austria,2007,9.1
151,Belgium,2007,
152,Bulgaria,2007,22.0
153,Croatia,2007,24.0
154,Cyprus,2007,
155,Czechia,2007,17.4
156,Denmark,2007,22.0
157,Estonia,2007,
158,Finland,2007,
159,France,2007,12.0
160,Germany,2007,
161,Greece,2007,19.32
162,Hungary,2007,
163,Ireland,2007,
164,Italy,2007,
165,Latvia,2007,
166,Lithuania,2007,
167,Luxembourg,2007,14.95
168,Malta,2007,
169,Netherlands,2007,
170,Norway,2007,35.0
